"","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Furnish","HDB.Town"
"862","Lornie Road","Detached","$16,460,000","$1,892 psf (Land) /$1,742 psf (Built-up)","2014","Detached",NA,"Lornie Road","D11 - Newton / Novena","7","7",NA,"8,698 sqft (Land) / 9,450 sqft (Built-up)","FREEHOLD",NA,"Renovated | Bathtub | Intercom | Private Pool | Cooker Hob/hood | Air Conditioning | Water Heater | Bombshelter | Balcony | Private Garden | Roof Terrace","Lynn Quek","Not Furnished",NA
"863","Lornie Road","Detached","$17,800,000","$2,046 psf (Land) /$1,935 psf (Built-up)","2017","Detached",NA,"Lornie Road","D11 - Newton / Novena","7","6",NA,"8,698 sqft (Land) / 9,200 sqft (Built-up)","FREEHOLD",NA,"Air Conditioning | Bathtub | Cooker Hob/hood | Private Pool | Private Lift | Balcony | Bombshelter | Maidsroom | Outdoor Patio | Roof Terrace","Lynn Quek","Partially Furnished",NA
"864","Choa Chu Kang North 5","HDB Executive","$560,000","$342 psf (Built-up)","1995","Apartment",NA,"754 Choa Chu Kang North 5 (680754)",NA,"4",NA,NA,"152 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | City View | Corner Unit | Cooker Hob/hood | Air Conditioning | Water Heater | Walk-in-wardrobe","Mike Cheah K H",NA,"Choa Chu Kang"
"865","Ang Mo Kio Avenue 3","HDB 3 Rooms","$305,000","$423 psf (Built-up)",NA,"New Generation",NA,"122 Ang Mo Kio Avenue 3 (560122)",NA,"2","2","MID","67 sqm (Built-up)","LEASEHOLD/99 years",NA,"City View | Air Conditioning | Air Conditioning | Water Heater | Cooker Hob/hood","Daniel Poh","Fully Furnished","Ang Mo Kio"
"866","Dorsett Residences","Apartment","$1,500,000","$2,177 psf (Built-up)",NA,NA,"Tang Suites Pte Ltd","333 New Bridge Road (088764)","D2 - Chinatown / Tanjong Pagar","2","1","MID","689 sqft (Built-up)","LEASEHOLD/99 years","68","Corner Unit | Renovated | City View | Air Conditioning | Cooker Hob/hood | Balcony","Daniel Poh","Fully Furnished",NA
"867","Artra","Apartment","$1,889,800","$1,540 psf (Built-up)",NA,"Apartment",NA,"10 Alexandra View (158745)","D3 - Alexandra / Commonwealth",NA,"2","HIGH","1,227 sqft (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Renovated | Air Conditioning | Cooker Hob/hood | Balcony","Daniel Poh","Partially Furnished",NA
"868","Belgravia Villas","Terrace","$2,695,690","$765 psf (Land) /$766 psf (Built-up)",NA,"Inter Terrace","Fairview Developments Pte Ltd","Belgravia Drive","D28 - Seletar / Yio Chu Kang","6",NA,NA,"3,520 sqft (Land) / 3,520 sqft (Built-up)","FREEHOLD","118","Swimming Pools/lap Pools | Children's Playground | Clubhouse | Guard House | Park/greenery View | Balcony","Jay Choong <U+949F><U+5FD7><U+6770>",NA,NA
"869","The Poiz Residences","Apartment","$1,511,000","$1,312 psf (Built-up)","2019","Apartment","MCC Land (Potong Pasir) Pte Ltd","10 Meyappa Chettiar Road (358473)","D13 - Macpherson / Potong Pasir","3+1","3",NA,"1,152 sqft (Built-up)","LEASEHOLD/99 years","731","Park/greenery View | Corner Unit | Air Conditioning | Air Conditioning | Balcony","Jay Choong <U+949F><U+5FD7><U+6770>","Partially Furnished",NA
"870","Sky Vue","Condominium","$1,088,000","$1,605 psf (Built-up)","2016","Condominium","Allamanda Residential Development Pte Ltd","1 Bishan Street 15 (573910)","D20 - Ang Mo Kio / Bishan / Thomson","2","2",NA,"678 sqft (Built-up)","LEASEHOLD/99 years","694","Steam Room | Hammock Lawn | Dining Pavilion | Rain Garden | Children's Playground | Outdoor Fitness Station | Children's Splash Pool | Spa Pool | Management Office | Gymnasium | Tennis Court | Living Pavilion | Pool Deck | Karaoke/screening Room | Party Rooms | Arrival Plaza | Leisure Pool With Aqua Deck | Park/greenery View | Air Conditioning | Balcony","Jay Choong <U+949F><U+5FD7><U+6770>",NA,NA
"871","Lloyd Sixtyfive","Apartment","$2,184,000","$3,076 psf (Built-up)","2016","Apartment","TG (2010) Pte Ltd","65 Lloyd Road (239114)","D9 - Orchard / River Valley","1+1",NA,NA,"710 sqft (Built-up)","FREEHOLD","76","Air Conditioning | Water Heater","Haryanto Zeng (MBA-EXPERT-SRX)",NA,NA
"872","Lloyd Sixtyfive","Apartment","$6,655,000","$2,748 psf (Built-up)","2016","Apartment","TG (2010) Pte Ltd","65 Lloyd Road (239114)","D9 - Orchard / River Valley","3",NA,NA,"2,422 sqft (Built-up)","FREEHOLD","76","Air Conditioning | Water Heater","Haryanto Zeng (MBA-EXPERT-SRX)",NA,NA
"873","Lloyd Sixtyfive","Apartment","$5,155,000","$2,851 psf (Built-up)","2016","Apartment","TG (2010) Pte Ltd","65 Lloyd Road (239114)","D9 - Orchard / River Valley","2+1",NA,NA,"1,808 sqft (Built-up)","FREEHOLD","76","Air Conditioning | Water Heater","Haryanto Zeng (MBA-EXPERT-SRX)",NA,NA
"874","Commonwealth Crescent","HDB 3 Rooms","$620,000","$488 psf (Built-up)","1970","Adjoined Flat",NA,"99 Commonwealth Crescent (140099)",NA,"5","2","LOW","118 sqm (Built-up)","LEASEHOLD/99 years",NA,"","Mark Sim",NA,"Queenstown"
