"","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Furnish","HDB.Town"
"540","Martin Modern","Condominium","$1,803,335","$2,360 psf (Built-up)","2020","Condominium","Martin Modern Pte Ltd","8 Martin Place (237992)","D9 - Orchard / River Valley","2","2","HIGH","764 sqft (Built-up)","LEASEHOLD/99 years","450","Corner Unit | Park/greenery View | Renovated | Air Conditioning | Cooker Hob/hood | Intercom | Hairdryer | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"541","D'Leedon","Condominium","$4,109,880","$1,425 psf (Built-up)","2014","Condominium","Morganite Pte Ltd","7 Leedon Heights (267953)","D10 - Tanglin / Holland / Bukit Timah","4+2","5","PENTHOUSE","2,885 sqft (Built-up)","LEASEHOLD/99 years","1715","Gymnasium | Theme Gardens | Restaurant/retail Space | Event Courts | Clubhouses | Multi-purpose Court | Jacuzzis | Tennis Courts | Spa Pavilions | Basketball Court | Play Areas | Fitness Areas | Lap Pool / Gym Pool | Jogging Tracks | Bbq | Mini Race Track | Corner Unit | City View | Park/greenery View | Sea View | Air Conditioning | Hairdryer | Intercom | Water Heater | Bathtub | Private Pool | Balcony | Private Garden | Walk-in-wardrobe | Roof Terrace","Jay Choong <U+949F><U+5FD7><U+6770>","Partially Furnished",NA
"542","Forest Woods","Condominium","$900,000","$1,349 psf (Built-up)",NA,"Condominium","Serangoon Green Pte. Ltd.","19 Lorong Lew Lian (533851)","D19 - Hougang / Punggol / Sengkang","2+1","1","MID","667 sqft (Built-up)","LEASEHOLD/99 years","519","Park/greenery View | Air Conditioning | Intercom | Water Heater | Balcony","Jay Choong <U+949F><U+5FD7><U+6770>","Partially Furnished",NA
"543","Sky Habitat","Condominium","$2,266,955","$1,463 psf (Built-up)","2015","Condominium","Bishan Residential  Development Pte Ltd","7 Bishan Street 15 (573908)","D20 - Ang Mo Kio / Bishan / Thomson","4+1","4","MID","1,550 sqft (Built-up)","LEASEHOLD/99 years","509","Children's Pool | Lily Ponds | Pool Island | Tennis Viewing Garden | Bbq / Social Areas | Guard House | Reflection Gardens | Tennis Court | 50M Lap Pool | Bbq / Party Dawn | Leisure Pool | Water Wall | Entry Court | Park/greenery View | Balcony","Jay Choong <U+949F><U+5FD7><U+6770>","Partially Furnished",NA
"544","Sunnyvale Residences","Apartment","$1,793,000","$1,587 psf (Built-up)","2017","Apartment","RH East Coast Pte. Ltd.","132 Lorong K Telok Kurau (425790)","D15 - East Coast / Marine Parade","4+1","4","MID","1,130 sqft (Built-up)","FREEHOLD","30","Renovated | Balcony","Jay Choong <U+949F><U+5FD7><U+6770>","Partially Furnished",NA
"545","The Vermont On Cairnhill","Apartment","$5,900,000","$2,228 psf (Built-up)","2013","Apartment","Bukit Sembawang View Pte Ltd","12A Cairnhill Rise (229746)","D9 - Orchard / River Valley","5+1","5","PENTHOUSE","2,648 sqft (Built-up)","FREEHOLD","158","Spa Pool | Main Pool | Children's Pool | Clubhouse | Water Feature | Pool Deck | Bbq Area | Fitness Corner | Children's Playground | Tennis Court | Bubble Pool | Garden Terrace | Timber Deck | Waterwall | Foot Reflexology Walk | Renovated | City View | Air Conditioning | Bathtub | Intercom | Water Heater | Cooker Hob/hood | Balcony | Maidsroom | Bombshelter | Terrace | Walk-in-wardrobe","Joyce Lee","Partially Furnished",NA
"546","Leedon Residence","Condominium","$9,842,958","$1,862 psf (Built-up)","2015","Condominium","Leedon Residence Development Pte Ltd","14 Leedon Heights (267936)","D10 - Tanglin / Holland / Bukit Timah","4+1","4","GROUND","5,285 sqft (Built-up)","FREEHOLD","381","The Dining Lounge | Recreational Garden | Tree Grove | Tree Avenue | Arrival Court | Water Features | Kids’ Pool | The Gym | Lap Pool | Pool Cabanas | The Grill | Fitness Corner | The Club | Reflective Pool | Tennis Courts | Discovery Playground | Jacuzzi | The Forest Walk | Pavillions | Renovated | City View | Corner Unit | Air Conditioning | Park/greenery View | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Jacuzzi | Balcony | Maidsroom | Walk-in-wardrobe | Private Garden","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"547","Leedon Residence","Condominium","$10,377,072","$2,206 psf (Built-up)","2015","Condominium","Leedon Residence Development Pte Ltd","16 Leedon Heights (267937)","D10 - Tanglin / Holland / Bukit Timah","5+1","6","HIGH","4,704 sqft (Built-up)","FREEHOLD","381","Tree Avenue | The Gym | Water Features | Discovery Playground | The Grill | The Dining Lounge | Reflective Pool | Arrival Court | Tree Grove | Recreational Garden | Jacuzzi | Lap Pool | Pool Cabanas | The Club | The Forest Walk | Fitness Corner | Pavillions | Kids’ Pool | Tennis Courts | Corner Unit | Park/greenery View | Renovated | Air Conditioning | Hairdryer | Intercom | Water Heater | Jacuzzi | Cooker Hob/hood | Balcony | Maidsroom | Walk-in-wardrobe","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"548","Leedon Residence","Condominium","$6,080,000","$1,614 psf (Built-up)","2015","Condominium","Leedon Residence Development Pte Ltd","8 Leedon Heights (266216)","D10 - Tanglin / Holland / Bukit Timah","5+1","5","PENTHOUSE","3,767 sqft (Built-up)","FREEHOLD","381","The Grill | The Forest Walk | Kids’ Pool | Water Features | Tennis Courts | Lap Pool | Recreational Garden | The Gym | The Dining Lounge | Tree Avenue | Pool Cabanas | Fitness Corner | Reflective Pool | Pavillions | Jacuzzi | Discovery Playground | Arrival Court | The Club | Tree Grove | Swimming Pool View | Renovated | Corner Unit | Park/greenery View | City View | Jacuzzi | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Hairdryer | Private Lift | Balcony | Maidsroom | Walk-in-wardrobe | Private Garden","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"549","Leedon Residence","Condominium","$6,799,788","$1,795 psf (Built-up)","2015","Condominium","Leedon Residence Development Pte Ltd","16 Leedon Heights (267937)","D10 - Tanglin / Holland / Bukit Timah","3+1","4","GROUND","3,789 sqft (Built-up)","FREEHOLD","381","Pavillions | Discovery Playground | Tree Avenue | Recreational Garden | Kids’ Pool | Lap Pool | Jacuzzi | Tennis Courts | The Gym | The Grill | The Club | The Forest Walk | Arrival Court | The Dining Lounge | Tree Grove | Pool Cabanas | Reflective Pool | Water Features | Fitness Corner | Corner Unit | Park/greenery View | Renovated | Air Conditioning | Intercom | Water Heater | Jacuzzi | Cooker Hob/hood | Bathtub | Balcony | Maidsroom | Walk-in-wardrobe | Private Garden","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"550","Leedon Residence","Condominium","$12,342,213","$1,761 psf (Built-up)","2015","Penthouse","Leedon Residence Development Pte Ltd","2 Leedon Heights (266228)","D10 - Tanglin / Holland / Bukit Timah","5","4","PENTHOUSE","7,007 sqft (Built-up)","FREEHOLD","381","The Forest Walk | Lap Pool | Tree Grove | Pavillions | Arrival Court | Jacuzzi | The Gym | Fitness Corner | Pool Cabanas | Recreational Garden | The Dining Lounge | Kids’ Pool | Water Features | Reflective Pool | Discovery Playground | The Club | Tennis Courts | The Grill | Tree Avenue | Corner Unit | City View | Renovated | Park/greenery View | Air Conditioning | Hairdryer | Intercom | Jacuzzi | Cooker Hob/hood | Balcony | Walk-in-wardrobe | Maidsroom | Private Garden","Kaeden Ong (EXPERT, SRX) Developer Sales","Fully Furnished",NA
"551","Bliss@Kovan","Condominium","$1,800,000","$1,371 psf (Built-up)","2015","Condominium","BBR Kovan Pte Ltd","6 Simon Lane (546055)","D19 - Hougang / Punggol / Sengkang","3","2","GROUND","1,313 sqft (Built-up)","FREEHOLD","140","Outdoor Shower | Biological Pond | Lap Pool | Changing Rooms With Shower Facilities | Drop-off | Entrance Foyer | Guardhouse | Signature Tree | Spa Pool And Pavilion | Secondary Pedestrian Access | Pool Deck | Gym | Hydro Massage | Children's Play Pool | Cascading Water Entrance Court | Children's Playground | Vertical Green Wall And Garden Walk | Clubhouse | Rain Garden | Water Feature | Dining Pavilion | Park/greenery View | Corner Unit | Cooker Hob/hood | Air Conditioning | Water Heater | Outdoor Patio","Larry Sng","Partially Furnished",NA
"552","Lorong 20 Geylang","Apartment","$750,000","$595 psf (Built-up)","1974","Walk-up Apt",NA,"Lorong 20 Geylang","D14 - Eunos / Geylang / Paya Lebar","2+1",NA,NA,"1,260 sqft (Built-up)","FREEHOLD",NA,"Original Condition | Air Conditioning | Cooker Hob/hood | Water Heater | Private Garden","Tony Tay Soo Tong",NA,NA
"553","Mei Ling Street","HDB 3 Rooms","$349,000","$450 psf (Built-up)",NA,"Model A",NA,"160 Mei Ling Street (140160)",NA,"2","2",NA,"72 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Air Conditioning | Air Conditioning","Siew Weng Kheong Vincent","Not Furnished","Queenstown"
"554","The Creek @ Bukit","Condominium","$2,430,800","$1,505 psf (Built-up)",NA,"Condominium","Chiu Teng @ Bukit Timah Pte. Ltd.","17 Toh Tuck Road (596155)","D21 - Clementi Park / Upper Bukit Timah","3","3",NA,"1,615 sqft (Built-up)","FREEHOLD","260","Original Condition | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Private Lift | Maidsroom | Bombshelter | Terrace","Alex Goh","Partially Furnished",NA
"555","Jurong West Street 42","HDB 4 Rooms","$420,000","$379 psf (Built-up)","1985","Model A",NA,"412 Jurong West Street 42 (640412)",NA,"3+1","2","MID","103 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | City View | Park/greenery View | Renovated | Air Conditioning | Cooker Hob/hood | Water Heater","Lim Ah Gek Veronica",NA,"Jurong West"
"556","Lorong 2 Toa Payoh","HDB 3 Rooms","$324,888","$495 psf (Built-up)","1970","Standard",NA,"116 Lorong 2 Toa Payoh (310116)",NA,"2",NA,NA,"61 sqm (Built-up)","LEASEHOLD/99 years",NA,"City View | Cooker Hob/hood","Goh Zhen An",NA,"Toa Payoh"
"557","Tai Keng Villas","Terrace","$2,300,000","$989 psf (Land) /$593 psf (Built-up)","1999","Corner Terrace","YHS TAI KENG PLACE PTE LTD(FAR EAST ORG)","Jalan Kelichap","D19 - Hougang / Punggol / Sengkang","5",NA,NA,"2,325 sqft (Land) / 3,880 sqft (Built-up)","LEASEHOLD/99 years","73","Corner Unit | Park/greenery View | Renovated | Water Heater | Cooker Hob/hood | Air Conditioning | Bathtub | Balcony | Roof Terrace | Outdoor Patio | Terrace","Grace Ong",NA,NA
"558","Bedok North Avenue 1","HDB 3 Rooms","$328,888","$456 psf (Built-up)","1979","New Generation",NA,"520 Bedok North Avenue 1 (460520)",NA,"2","2",NA,"67 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Cooker Hob/hood | Air Conditioning | Water Heater","Eileen Lim","Not Furnished","Bedok"
"559","Yio Chu Kang Road","Terrace","$3,500,000","$1,140 psf (Land) /$936 psf (Built-up)",NA,"Corner Terrace",NA,"Yio Chu Kang Road","D19 - Hougang / Punggol / Sengkang","5","4",NA,"3,068 sqft (Land) / 3,740 sqft (Built-up)","FREEHOLD",NA,"Air Conditioning | Bathtub | Cooker Hob/hood | Water Heater | Maidsroom","Kong Yoke Teck Justin","Not Furnished",NA
"560","Broadrick Road","Detached","$23,500,000","$1,454 psf (Land) /$11,750 psf (Built-up)","2006","Detached",NA,"Broadrick Road","D15 - East Coast / Marine Parade","3",NA,NA,"16,159 sqft (Land) / 2,000 sqft (Built-up)","FREEHOLD",NA,"","Simran Dadlani",NA,NA
"561","Guan Soon Villas","Terrace","$2,850,000","$1,580 psf (Land) /$1,068 psf (Built-up)","1991","Inter Terrace",NA,"Guan Soon Avenue","D16 - Bedok / Upper East Coast","4+2","4",NA,"1,803 sqft (Land) / 2,669 sqft (Built-up)","FREEHOLD",NA,"Air Conditioning | Cooker Hob/hood | Bathtub | Balcony | Maidsroom","Manny Chiong","Partially Furnished",NA
"562","Pasir Ris Beach Park","Terrace","$3,000,000","$1,184 psf (Land) /$1,071 psf (Built-up)","1976","Inter Terrace",NA,"Pasir Ris View","D18 - Pasir Ris / Tampines","4","3",NA,"2,533 sqft (Land) / 2,800 sqft (Built-up)","999 years","120","Renovated | Water Heater | Air Conditioning | Terrace | Balcony","Ros Salleh","Partially Furnished",NA
"563","Toh Guan Road","HDB 4 Rooms","$465,000","$428 psf (Built-up)","1999","Model A",NA,"274 Toh Guan Road (600274)",NA,"3",NA,NA,"101 sqm (Built-up)","LEASEHOLD/99 years",NA,"Air Conditioning | Water Heater | Cooker Hob/hood | Bombshelter","Jasmine Goh",NA,"Jurong East"
"564","Bukit Merah Central","HDB 5 Rooms","$650,000","$516 psf (Built-up)","1977","Model A",NA,"116 Bukit Merah Central (150116)",NA,"3",NA,NA,"117 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Balcony","Monica Chua",NA,"Bukit Merah"
"565","Mimosa Vale","Semi-Detached","$4,300,000","$1,018 psf (Land) /$951 psf (Built-up)","1991",NA,"KENGFU","Mimosa Vale","D28 - Seletar / Yio Chu Kang","6","4",NA,"4,223 sqft (Land) / 4,521 sqft (Built-up)","999 years","26","Renovated | Cooker Hob/hood | Air Conditioning | Water Heater | Outdoor Patio | Balcony | Maidsroom | Walk-in-wardrobe | Private Garden","Vera Loh",NA,NA
"566","Tai Hwan Garden","Terrace","$2,900,000","$1,011 psf (Land) /$1,203 psf (Built-up)","1996","Corner Terrace",NA,"Tai Hwan Avenue","D19 - Hougang / Punggol / Sengkang","3+1","3","GROUND","2,866 sqft (Land) / 2,411 sqft (Built-up)","FREEHOLD","302","Park/greenery View | Original Condition | Balcony | Maidsroom | Terrace | Outdoor Patio","Bertha Chew J I","Not Furnished",NA
"567","Martin Modern","Condominium","$1,985,000","$2,598 psf (Built-up)","2023","Condominium","Martin Modern Pte Ltd","8 Martin Place (237992)","D9 - Orchard / River Valley","2",NA,NA,"764 sqft (Built-up)","LEASEHOLD/99 years","450","Air Conditioning | Cooker Hob/hood","Philin Yoon (SRX-EXPERT)",NA,NA
"568","Sandilands Road","Terrace","$3,450,000","$1,229 psf (Land) /$907 psf (Built-up)",NA,"Corner Terrace",NA,"Sandilands Road","D19 - Hougang / Punggol / Sengkang","6","4",NA,"2,806 sqft (Land) / 3,805 sqft (Built-up)","999 years",NA,"Air Conditioning | Bathtub | Cooker Hob/hood | Air Conditioning | Water Heater | Maidsroom","Kong Yoke Teck Justin",NA,NA
"569","Martin Modern","Condominium","$1,886,000","$2,300 psf (Built-up)","2020","Condominium","Martin Modern Pte Ltd","10 Martin Place (237963)","D9 - Orchard / River Valley","2","2",NA,"820 sqft (Built-up)","LEASEHOLD/99 years","450","Air Conditioning | Bathtub | Cooker Hob/hood | Intercom | Jacuzzi | Water Heater | Balcony","Edwin Yip",NA,NA
"570","East Coast Park","Terrace","$3,300,000","$1,323 psf (Land) /$1,345 psf (Built-up)",NA,"Corner Terrace",NA,"Siglap Road","D15 - East Coast / Marine Parade","4",NA,NA,"2,493 sqft (Land) / 2,454 sqft (Built-up)","FREEHOLD",NA,"Park/greenery View | Cooker Hob/hood | Air Conditioning | Water Heater | Terrace | Private Garden | Garage","Teressa Tang",NA,NA
"571","Sophia Hills","Condominium","$2,114,000","$2,207 psf (Built-up)","2018","Condominium","Hoi Hup Sunway Mount Sophia Pte Ltd","9 Mount Sophia (228470)","D9 - Orchard / River Valley","3","2","LOW","958 sqft (Built-up)","LEASEHOLD/99 years","493","Lounge | Childcare Drop-off Plaza | Gymnasium | Multi-purpose Media Room | Children's Water Play | Bbq Corner | Jogging Path | Water Wall | Steps Cascades | The Sophia Mirror Pool | Conserved Building: Restaurant | Fitness Stations | Management Office | Reflective Pool | Timber Deck | Male And Female Changing And Steam Rooms | Seating Corner | Water Cascades | Mountain Terraces | Residents' Side Gate | Internet Corner | Conserved Building: Childcare/kindergarten | Pavilion | Games Room | Vantage Deck | Function Rooms | 50M Lap Pool | Sunning Deck | The Sophia Grand Staircase | Adventure Playground | Jacuzzi | Main Entrance Drop-off Plaza | Toddler's Playground | Bin Centre | Lagoon Pool | Bio-pond | Substation | Yoga Decks | Guardhouse | Clubhouse Drop-off Plaza | Children's Pool | Air Conditioning | Water Heater | Cooker Hob/hood | Balcony","Eric Teo","Partially Furnished",NA
"572","Telok Blangah Heights","HDB 5 Rooms","$700,000","$556 psf (Built-up)","1978","Model A",NA,"73 Telok Blangah Heights (100073)",NA,"3","2",NA,"117 sqm (Built-up)","LEASEHOLD/99 years",NA,"Original Condition | Corner Unit | Cooker Hob/hood | Water Heater | Bombshelter | Balcony | Walk-in-wardrobe","Josephine Khiew","Partially Furnished","Bukit Merah"
"573","Starville","Condominium","$1,950,000","$871 psf (Built-up)","2006","Condominium","Pencroft Investments Pte Ltd","66 Lengkong Tiga (417471)","D14 - Eunos / Geylang / Paya Lebar","4",NA,NA,"2,239 sqft (Built-up)","FREEHOLD","250","Swimming Pool | Gymnasium | Barbecue Area | Tennis Court | Corner Unit | Sea View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Air-conditioning | Wardrobe | Flooring For Living/dining | Kitchen | Flooring For Bedroom | Balcony | Bombshelter | Roof Terrace","Desmond Tan",NA,NA
"574","Loyang Villas","Terrace","$1,450,000","$897 psf (Land) /$580 psf (Built-up)","1996","Terrace","FIRST LOYANG LAND PTELTD","Loyang View","D17 - Changi Airport / Changi Village","5",NA,NA,"1,616 sqft (Land) / 2,500 sqft (Built-up)","LEASEHOLD/99 years","423","Renovated | Air Conditioning | Balcony | Maidsroom | Outdoor Patio","Sherry Tan",NA,NA
"575","Sturdee Residences","Condominium","$1,731,700","$1,330 psf (Built-up)",NA,"Condominium","SL Capital (1) Pte Ltd","10 Beatty Road (209955)","D8 - Farrer Park / Serangoon Rd","4","3","HIGH","1,302 sqft (Built-up)","LEASEHOLD/99 years","305","City View | Park/greenery View | Cooker Hob/hood | Air Conditioning | Water Heater | Intercom | Balcony","Joshua Koh","Not Furnished",NA
"576","Amber Skye","Apartment","$2,249,430","$2,010 psf (Built-up)","2017","Apartment","CS Amber Development Pte. Ltd.","8 Amber Road (439853)","D15 - East Coast / Marine Parade","2",NA,NA,"1,119 sqft (Built-up)","FREEHOLD","109","Poolside Water Feature | Drop Off Water Feature | Poolside Shower | 48M Lap Pool | Gym | Jacuzzi | Cascade Planter | Clubhouse | Children's Topo Playground | Pool Deck | Steam Room | Dining Pavilion | Bbq Area | Sky Terrace | Feature Green Wall | Kid's Pool | Guard House | Hammock Lounge | Main Entrance | Drop Off And Waiting Area | Park/greenery View | Corner Unit | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater","Terence Lee",NA,NA
"577","Bedok North Road","HDB 3 Rooms","$320,000","$407 psf (Built-up)","1978","New Generation",NA,"117 Bedok North Road (460117)",NA,"2","2","LOW","73 sqm (Built-up)","LEASEHOLD/99 years",NA,"Park/greenery View | Cooker Hob/hood","Amber Wood",NA,"Bedok"
"578","Shelford Road","Terrace","$5,600,000","$2,977 psf (Land) /$1,217 psf (Built-up)","2014","Inter Terrace",NA,"Shelford Road","D11 - Newton / Novena","5+1","6","GROUND","1,881 sqft (Land) / 4,600 sqft (Built-up)","FREEHOLD",NA,"City View | Renovated | Air Conditioning | Bathtub | Intercom | Water Heater | Cooker Hob/hood | Private Lift | Garage | Bombshelter | Balcony | Maidsroom | Outdoor Patio | Terrace | Walk-in-wardrobe","Farrand Hey","Partially Furnished",NA
"579","Jurong West Street 64","HDB 5 Rooms","$508,888","$426 psf (Built-up)","2000","Improved",NA,"684C Jurong West Street 64 (643684)",NA,"3",NA,NA,"111 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Cooker Hob/hood | Air Conditioning | Water Heater","Eugene Tay",NA,"Jurong West"
"580","One Saint Michael's","Condominium","$1,600,000","$1,281 psf (Built-up)","2009","Condominium","FCL Lodge Pte Ltd","1 St. Michael's Road (328006)","D12 - Balestier / Toa Payoh","3",NA,NA,"1,249 sqft (Built-up)","FREEHOLD","131","Renovated | City View | Sea View | Bathtub | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony | Maidsroom","Matthew Chan",NA,NA
"581","The Crest","Condominium","$1,967,000","$1,618 psf (Built-up)","2017","Condominium","Wingcrown Investment Pte Ltd","101 Prince Charles Crescent (159017)","D3 - Alexandra / Commonwealth","3","2","LOW","1,216 sqft (Built-up)","LEASEHOLD/99 years","469","Corner Unit | Park/greenery View | Original Condition | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony","Raycher Lim","Partially Furnished",NA
"582","Marina One Residences","Apartment","$4,720,680","$3,067 psf (Built-up)","2017","Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3",NA,NA,"1,539 sqft (Built-up)","LEASEHOLD/99 years","1042","Air Conditioning | Water Heater","Raycher Lim",NA,NA
"583","Bukit Batok East Avenue 3","HDB 3 Rooms","$310,000","$450 psf (Built-up)","1988","Simplified",NA,"283 Bukit Batok East Avenue 3 (650283)",NA,"2","2",NA,"64 sqm (Built-up)","LEASEHOLD/99 years",NA,"","Raymund Choy",NA,"Bukit Batok"
"584","Woodlands Drive 73","HDB 5 Rooms","$408,000","$316 psf (Built-up)","2000","Premium Apartment",NA,"682C Woodlands Drive 73 (733682)",NA,"3",NA,NA,"120 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Corner Unit | Bathtub | Air Conditioning | Cooker Hob/hood","Clement Yeo",NA,"Woodlands"
"585","Marina One Residences","Apartment","$5,788,000","$2,572 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","4","4","MID","2,250 sqft (Built-up)","LEASEHOLD/99 years","1042","Park/greenery View | City View | Swimming Pool View | Air Conditioning | Jacuzzi | Private Pool | Water Heater | Cooker Hob/hood | Air Conditioning | Balcony | Garage | Walk-in-wardrobe | Roof Terrace","Ryner Koh","Partially Furnished",NA
"586","Marina One Residences","Apartment","$4,720,680","$3,067 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3","3","HIGH","1,539 sqft (Built-up)","LEASEHOLD/99 years","1042","Renovated | Sea View | City View | Colonial Building | Swimming Pool View | Original Condition | Air Conditioning | Corner Unit | Jacuzzi | Private Pool | Water Heater | Cooker Hob/hood | Air Conditioning | Balcony | Walk-in-wardrobe | Roof Terrace | Private Garden","Ryner Koh","Partially Furnished",NA
"587","Marina One Residences","Apartment","$2,565,000","$2,270 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2","2","MID","1,130 sqft (Built-up)","LEASEHOLD/99 years","1042","Air Conditioning | Corner Unit | Park/greenery View | City View | Water Heater | Cooker Hob/hood | Air Conditioning | Jacuzzi | Private Lift | Balcony | Terrace","Ryner Koh","Partially Furnished",NA
"588","Marina One Residences","Apartment","$3,558,180","$2,312 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3","3","MID","1,539 sqft (Built-up)","LEASEHOLD/99 years","1042","Park/greenery View | City View | Air Conditioning | Private Pool | Water Heater | Cooker Hob/hood | Private Lift | Jacuzzi | Private Garden | Walk-in-wardrobe | Garage | Balcony | Roof Terrace | Terrace","Diana Chang","Partially Furnished",NA
"589","Marina One Residences","Apartment","$5,528,000","$2,457 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","4","4","LOW","2,250 sqft (Built-up)","LEASEHOLD/99 years","1042","Park/greenery View | City View | Air Conditioning | Private Pool | Hairdryer | Intercom | Cooker Hob/hood | Jacuzzi | Private Lift | Water Heater | Balcony | Roof Terrace | Terrace | Garage | Private Garden | Walk-in-wardrobe","Diana Chang","Partially Furnished",NA
"590","Marina One Residences","Apartment","$2,430,100","$2,130 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","2+1","2","LOW","1,141 sqft (Built-up)","LEASEHOLD/99 years","1042","Park/greenery View | Swimming Pool View | City View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Private Lift | Jacuzzi | Private Pool | Balcony | Roof Terrace | Terrace | Garage | Private Garden","Diana Chang","Partially Furnished",NA
"591","Livia","Condominium","$1,118,000","$888 psf (Built-up)","2011","Condominium","Hong Realty Pte Ltd","75 Pasir Ris Grove (518207)","D18 - Pasir Ris / Tampines","3","3","MID","1,259 sqft (Built-up)","LEASEHOLD/99 years","724","City View | Renovated | Air Conditioning | Water Heater | Intercom | Balcony","Kiegan Chia - [ Keo ]","Partially Furnished",NA
"592","Anchorvale Link","HDB 5 Rooms","$500,000","$422 psf (Built-up)","2002","Improved",NA,"305A Anchorvale Link (541305)",NA,"3","2","MID","110 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Air Conditioning | Cooker Hob/hood | Balcony | Bombshelter | Walk-in-wardrobe","Simon Chia","Not Furnished","Sengkang"
"593","Highline Residences","Condominium","$2,100,000","$1,625 psf (Built-up)",NA,"Condominium","Harvestland Development Pte Ltd","1 Kim Tian Road (169280)","D3 - Alexandra / Commonwealth","4","3","HIGH","1,292 sqft (Built-up)","LEASEHOLD/99 years","500","Leisure Pool | Olympic-length Grandpool | Children's Pool | Maze Garden | Spa Pods | Planters For Community Farming | Water Feature | Swing Garden | Pool Pavilion | Water Courtyards | Butterfly Garden | Arrival Plaza With Drop-off Areas | Barbeque Pavilion | Garden Deck | Communal Function Rooms | Sun Deck | Pool Deck | Picnic Lawn | Reading Loft | Dreamcatcher Garden | Water Cascade | Gymnasium | Aqua Spring | Green Prisms | Cocoon Day Beds | Children's Playground | Gym Lounge | Spice Garden | Guard House | Warm-up Deck | Party Lawn | Aqua Deck | Viewing Deck | Art Lounge | Reflective Water Features | Fitness Pavilion | Fern Alcove | Pavilion Area | Outdoor Fitness Stations | Clubhouse With Concierge, Reading Lounge | Terrace Garden | Reflexology Walk | Corner Unit | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony","Taguchi Ken","Partially Furnished",NA
"594","Telok Blangah Heights","HDB 5 Rooms","$730,000","$580 psf (Built-up)","1978","Standard",NA,"72 Telok Blangah Heights (100072)",NA,"3","2","MID","117 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Park/greenery View | Corner Unit | Cooker Hob/hood | Air Conditioning","Bryan Lee","Not Furnished","Bukit Merah"
"595","Namly Crescent","Semi-Detached","$7,800,000","$2,451 psf (Land) /$1,580 psf (Built-up)","2017","Semi-detached",NA,"Namly Crescent","D10 - Tanglin / Holland / Bukit Timah","4","5",NA,"3,182 sqft (Land) / 4,936 sqft (Built-up)","FREEHOLD",NA,"City View | Bathtub | Intercom | Private Pool | Cooker Hob/hood | Air Conditioning | Water Heater | Outdoor Patio | Bombshelter | Balcony | Maidsroom | Roof Terrace","Lee Suet Fun (JACKIE)","Partially Furnished",NA
