"X","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Furnish","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Min.Distance","HDB.Town","lat","long","accuracy"
602,"Forte Suites","Apartment","$1,126,000","$1,867 psf (Built-up)",2016,"Apartment","Forte Development Pte. Ltd.","88 Mergui Road (219062)","D8 - Farrer Park / Serangoon Rd","2",1,"Not Furnished","HIGH","603 sqft (Built-up)","FREEHOLD",106,"Air Conditioning | Water Heater | Cooker Hob/hood | Balcony","Joshua Koh",630,NA,1.3178465,103.8519437,"street_address"
603,"Thomson Impressions","Apartment","$785,700","$1,697 psf (Built-up)",2019,"Apartment","NS Property (Thomson) Pte Ltd","1 Lorong Puntong (576443)","D20 - Ang Mo Kio / Bishan / Thomson","1",1,"Not Furnished","HIGH","463 sqft (Built-up)","LEASEHOLD/99 years",288,"Air Conditioning | Intercom | Cooker Hob/hood | Water Heater | Balcony","Joshua Koh",480,NA,1.3602574,103.83069,"street_address"
604,"The Wisteria","Apartment","$1,162,000","$991 psf (Built-up)",2019,"Apartment","Northern Resi Pte. Ltd., Northern Retail Pte. Ltd.","596 Yishun Ring Road (768697)","D27 - Sembawang / Yishun","4+1",3,"Not Furnished","HIGH","1,173 sqft (Built-up)","LEASEHOLD/99 years",216,"Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Joshua Koh",930,NA,1.4177205,103.8377223,"street_address"
605,"6 Derbyshire","Condominium","$1,760,911","$2,124 psf (Built-up)",2017,"Condominium","Fantasia (Novena) Pte Ltd","6 Derbyshire Road (309462)","D11 - Newton / Novena","2",1,"Not Furnished","HIGH","829 sqft (Built-up)","FREEHOLD",168,"Community Sky Garden | Children Playground | Pavilion | Reflective Pool | Gymnasium | Bbq Pits | Simming Pool | Spa Pool | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony","Joshua Koh",590,NA,1.3157339,103.8459614,"street_address"
606,"Bukit Batok West Avenue 6","HDB 3 Rooms","$278,000","$380 psf (Built-up)",1984,"New Generation",NA,"134 Bukit Batok West Avenue 6 (650134)",NA,"2",2,"Partially Furnished","MID","68 sqm (Built-up)","LEASEHOLD/99 years",NA,"Air Conditioning | Water Heater | Cooker Hob/hood","Ben Lim",620,"Bukit Batok",1.3516074,103.7444392,"premise"
607,"Livia","Condominium","$1,118,000","$888 psf (Built-up)",2011,"Condominium","Hong Realty Pte Ltd","75 Pasir Ris Grove (518207)","D18 - Pasir Ris / Tampines","3",3,"Partially Furnished","MID","1,259 sqft (Built-up)","LEASEHOLD/99 years",724,"City View | Renovated | Air Conditioning | Water Heater | Intercom | Balcony","Kiegan Chia - [ Keo ]",660,NA,1.37304,103.943302,"street_address"
608,"Marina One Residences","Apartment","$3,558,180","$2,312 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","3",3,"Partially Furnished","MID","1,539 sqft (Built-up)","LEASEHOLD/99 years",1042,"Park/greenery View | City View | Air Conditioning | Private Pool | Water Heater | Cooker Hob/hood | Private Lift | Jacuzzi | Private Garden | Walk-in-wardrobe | Garage | Balcony | Roof Terrace | Terrace","Diana Chang",140,NA,1.280042,103.855291,"establishment"
609,"Marina One Residences","Apartment","$5,528,000","$2,457 psf (Built-up)",NA,"Apartment","MS Residential1 Pte Ltd/MS Residential 2 Pte Ltd/Ms Commercial Pte Ltd","21 Marina Way (018978)","D1 - Boat Quay / Raffles Place / Marina","4",4,"Partially Furnished","LOW","2,250 sqft (Built-up)","LEASEHOLD/99 years",1042,"Park/greenery View | City View | Air Conditioning | Private Pool | Hairdryer | Intercom | Cooker Hob/hood | Jacuzzi | Private Lift | Water Heater | Balcony | Roof Terrace | Terrace | Garage | Private Garden | Walk-in-wardrobe","Diana Chang",140,NA,1.280042,103.855291,"establishment"
610,"Gem Residences","Condominium","$1,250,070","$1,320 psf (Built-up)",NA,"Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","3",NA,NA,NA,"947 sqft (Built-up)","LEASEHOLD/99 years",578,"Air Conditioning | Intercom | Water Heater | Balcony","Choong Jiesi, Jessie",570,NA,1.3336887,103.8531666,"street_address"
611,"One Saint Michael's","Condominium","$1,600,000","$1,281 psf (Built-up)",2009,"Condominium","FCL Lodge Pte Ltd","1 St. Michael's Road (328006)","D12 - Balestier / Toa Payoh","3",NA,NA,NA,"1,249 sqft (Built-up)","FREEHOLD",131,"Renovated | City View | Sea View | Bathtub | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony | Maidsroom","Matthew Chan",630,NA,1.3246567,103.8651947,"street_address"
612,"Bukit Batok East Avenue 3","HDB 3 Rooms","$310,000","$450 psf (Built-up)",1988,"Simplified",NA,"283 Bukit Batok East Avenue 3 (650283)",NA,"2",2,NA,NA,"64 sqm (Built-up)","LEASEHOLD/99 years",NA,"","Raymund Choy",900,"Bukit Batok",1.3472835,103.7574741,"premise"
613,"Belle Vue (Enbloc)","Condominium","$7,900,000","$1,631 psf (Built-up)",2010,"Condominium","Winquest Investment Pte Ltd","27 Oxley Walk (238596)","D9 - Orchard / River Valley","4+1",4,"Fully Furnished","PENTHOUSE","4,844 sqft (Built-up)","FREEHOLD",176,"City View | Renovated | Swimming Pool View | Park/greenery View | Air Conditioning | Bathtub | Intercom | Water Heater | Cooker Hob/hood | Jacuzzi | Balcony | Maidsroom | Roof Terrace | Bombshelter | Outdoor Patio | Terrace | Private Garden","Roger Kee",380,NA,1.2955677,103.842135,"street_address"
614,"Pasir Ris Street 72","HDB Executive","$668,000","$419 psf (Built-up)",1996,"Executive Apartment",NA,"715 Pasir Ris Street 72 (510715)",NA,"4",2,NA,"HIGH","148 sqm (Built-up)","LEASEHOLD/99 years",NA,"Sea View | Park/greenery View | Renovated | Air Conditioning | Cooker Hob/hood | Water Heater | Jacuzzi | Bathtub | Balcony","Rachel Bor",1730,"Pasir Ris",1.3828621,103.9372413,"premise"
615,"Woodlands Drive 73","HDB 5 Rooms","$408,000","$316 psf (Built-up)",2000,"Premium Apartment",NA,"682C Woodlands Drive 73 (733682)",NA,"3",NA,NA,NA,"120 sqm (Built-up)","LEASEHOLD/99 years",NA,"Renovated | Corner Unit | Bathtub | Air Conditioning | Cooker Hob/hood","Clement Yeo",380,"Woodlands",1.4406338,103.8043637,"street_address"
616,"Sembawang Hills Estate","Terrace","$3,180,000","$1,093 psf (Land) /$1,767 psf (Built-up)",1960,"Corner Terrace","BUKI SEMABWANG ESTATES LIMITED","Jalan Chempedak","D20 - Ang Mo Kio / Bishan / Thomson","3",2,"Not Furnished",NA,"2,909 sqft (Land) / 1,800 sqft (Built-up)","FREEHOLD",600,"Corner Unit | Park/greenery View | Original Condition","Ivan @  Ivan",830,NA,1.3709914,103.8294442,"route"
617,"Bishan Street 24","HDB 4 Rooms","$530,000","$460 psf (Built-up)",1992,"Model A",NA,"265 Bishan Street 24 (570265)",NA,"3",2,"Partially Furnished","GROUND","107 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Park/greenery View | Walk-in-wardrobe","Jacqueline Tan Hwee Suang  @  Tan Xiang",1050,"Bishan",1.3583707,103.8422445,"street_address"
618,"Anchorvale Link","HDB 5 Rooms","$500,000","$422 psf (Built-up)",2002,"Improved",NA,"305A Anchorvale Link (541305)",NA,"3",2,"Not Furnished","MID","110 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Air Conditioning | Cooker Hob/hood | Balcony | Bombshelter | Walk-in-wardrobe","Simon Chia",280,"Sengkang",1.3885328,103.8885556,"street_address"
619,"Oleander Towers","Apartment","$1,000,000","$1,161 psf (Built-up)",NA,"Apartment","Winprime Investment Pte Ltd (Wing Tai)","913 Lorong 1 Toa Payoh (319772)","D12 - Balestier / Toa Payoh","2",2,"Fully Furnished","LOW","861 sqft (Built-up)","LEASEHOLD/99 years",318,"Tennis Court | Swimming Pool | Multi Purpose Hall | Securities | Club House | Fitness Area | Wadpool | Jacuzzi | Play Ground | Car Park | Barbecue Area | Gymnasium | Renovated | Air Conditioning | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Kitchen | Air-conditioning | Wardrobe | Flooring For Living/dining | Flooring For Bedroom","Ryan Tan E H",290,NA,1.332989,103.843957,"street_address"
