"X","Property.Name","Property.Type","Asking","PSF","Built.Year","Model","Developer","Address","District","Bedrooms","Bathrooms","Furnish","Floor","Area","Tenure","No..of.Units","Facilities","Agent","Min.Distance","HDB.Town","lat","long","accuracy"
749,"Admiralty Drive","HDB 5 Rooms","$449,000","$379 psf (Built-up)",2002,"Improved",NA,"353A Admiralty Drive (751353)",NA,NA,2,"Fully Furnished","LOW","110 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Renovated | Air Conditioning | Water Heater | Cooker Hob/hood","Angela Ng",180,"Sembawang",1.3128019,103.9062153,"street_address"
750,"Guilin View","Condominium","$1,000,000","$794 psf (Built-up)",2000,"Condominium","Guilin Park Properties Pte Ltd","24 Bukit Batok Street 52 (659246)","D23 - Dairy Farm / Bukit Panjang / Choa Chu Kang","3",2,"Partially Furnished","MID","1,259 sqft (Built-up)","LEASEHOLD/99 years",655,"Play Ground | Gymnasium | Car Park | Fitness Area | Securities | Tennis Court | Wadpool | Club House | Squash Court | Swimming Pool | Barbecue Area | Renovated | Park/greenery View | Air Conditioning | Corner Unit | Water Heater | Cooker Hob/hood | Air Conditioning | Air-conditioning | Wardrobe | Flooring For Living/dining | Kitchen | Flooring For Bedroom | Balcony","Evelyn Toh",430,NA,1.2932638,103.8378606,"street_address"
751,"Yishun Street 71","HDB Executive","$580,000","$380 psf (Built-up)",1986,"Executive Apartment",NA,"723 Yishun Street 71 (760723)",NA,"3",2,"Fully Furnished","HIGH","142 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Park/greenery View | Renovated | Air Conditioning | Cooker Hob/hood | Water Heater | Balcony | Maidsroom","Billy Yu",680,"Yishun",1.2932638,103.8378606,"street_address"
752,"Choa Chu Kang Street 52","HDB 4 Rooms","$345,000","$299 psf (Built-up)",NA,"Model A",NA,"544 Choa Chu Kang Street 52 (680544)",NA,NA,2,"Fully Furnished","LOW","107 sqm (Built-up)","LEASEHOLD/99 years",NA,"Air Conditioning | Water Heater | Cooker Hob/hood","Melvin Lim",600,"Choa Chu Kang",1.2930164,103.8382213,"street_address"
753,"East Village","Apartment","$1,180,000","$921 psf (Built-up)",NA,"Penthouse","World Class Developments (Bedok) Pte Ltd","432 Upper Changi Road (487049)","D16 - Bedok / Upper East Coast","2",2,"Fully Furnished","PENTHOUSE","1,281 sqft (Built-up)","FREEHOLD",90,"Service Entrance | Sun Bathing Deck | Function Room | Children Playground | Guardhouse | Yoga Pavilion | 35M Lap Pool | Aromatherapy Garden | Entrance | Spa Pool | Landscape Area | Kid's Pool | Zen Garden | Bbq Area | Fitness Green | Jogging Track | Driveway | Relex Pool & Jacuzzi | Indoor Gymnasium | Reading Pavilion | Renovated | Air Conditioning | Water Heater | Cooker Hob/hood","Adrian Lim",540,NA,1.3629273,103.883759,"street_address"
754,"Boathouse Residences","Condominium","$1,120,000","$1,040 psf (Built-up)",2015,"Condominium","Easthouse Propperties Pte Ltd","25 Upper Serangoon View (534046)","D19 - Hougang / Punggol / Sengkang",NA,3,"Fully Furnished","LOW","1,077 sqft (Built-up)","LEASEHOLD/99 years",493,"Fitness Corner | Hammock Island | Aqua Foot Reflexology | Spa Pool With Pavilion | Clubhouse - Boathouse Alike Floating By The Pool | Children's Play Area | Multi-purposes Room | Bbq | Courtyard Gardens | Gym - Boathouse Alike Floating By The Pool | Aqua Gym | Recreational Tennis Court | 50M Lap Pool And Sun Decks | Boatshed Spa Pools | Wading Pool With Slide | River Pavilion With Teppanyaki | Garden Walkways | Meandering Pool | Renovated | Swimming Pool View | Air Conditioning | Cooker Hob/hood | Water Heater","Melvin Lim",890,NA,1.3754493,103.9029654,"street_address"
755,"The Coast at Sentosa Cove","Condominium","$4,900,000","$1,866 psf (Built-up)",2009,"Condominium","Ho Bee Cove Pte Ltd","276 Ocean Drive (098449)","D4 - Sentosa / Harbourfront","4",NA,NA,NA,"2,626 sqft (Built-up)","LEASEHOLD/99 years",249,"Sea View | Swimming Pool View | Cooker Hob/hood | Air Conditioning | Intercom | Private Lift | Bathtub | Water Heater | Bombshelter | Maidsroom | Balcony","Cara Loke",NA,NA,1.246774,103.844398,"street_address"
756,"Seletar Hills Estate","Semi-Detached","$3,900,000","$1,274 psf (Land) /$867 psf (Built-up)",2004,"Semi-detached","BUKIT SEMABWANG ESTATES LIMITED","Jalan Selaseh","D28 - Seletar / Yio Chu Kang","5",NA,NA,NA,"3,061 sqft (Land) / 4,500 sqft (Built-up)","999 years",NA,"Renovated | Air Conditioning | Cooker Hob/hood | Outdoor Patio","Elaine Tan",1020,NA,1.3849781,103.8726578,"route"
757,"Mutiara Crest","Apartment","$2,280,000","$1,708 psf (Built-up)",2000,"Apartment","SB Development Pte Ltd","2 Jalan Mutiara (249183)","D10 - Tanglin / Holland / Bukit Timah","3",2,"Not Furnished","HIGH","1,335 sqft (Built-up)","FREEHOLD",64,"Securities | Barbecue Area | Wadpool | Play Ground | Jacuzzi | Swimming Pool | City View | Air Conditioning | Cooker Hob/hood | Flooring For Living/dining | Air-conditioning | Wardrobe | Kitchen | Flooring For Bedroom | Maidsroom","Elaine Tan",490,NA,1.2957029,103.8293648,"street_address"
758,"Gem Residences","Condominium","$1,836,000","$1,470 psf (Built-up)",NA,"Condominium","GEM Homes Pte Ltd","3 Lorong 5 Toa Payoh (319459)","D12 - Balestier / Toa Payoh","4",NA,NA,NA,"1,249 sqft (Built-up)","LEASEHOLD/99 years",578,"Original Condition | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony","Alex Goh",570,NA,1.3336887,103.8531666,"street_address"
759,"Kismis Residences","Terrace","$4,352,400","$2,693 psf (Land) /$889 psf (Built-up)",2020,"Inter Terrace","Newfort Alliance (Kismis) Pte. Ltd.","Upper Toh Tuck Terrace","D21 - Clementi Park / Upper Bukit Timah","5+1",6,NA,NA,"1,616 sqft (Land) / 4,898 sqft (Built-up)","FREEHOLD",31,"Renovated | Bathtub | Air Conditioning | Water Heater | Cooker Hob/hood | Walk-in-wardrobe | Maidsroom | Bombshelter","Justine Goh Y Y",950,NA,1.3364463,103.7690285,"route"
760,"Kingsford Waterbay","Apartment","$1,100,000","$1,232 psf (Built-up)",2018,"Apartment","Kingsford Property Development Pte Ltd","66 Upper Serangoon View (533885)","D19 - Hougang / Punggol / Sengkang","3",2,"Partially Furnished",NA,"893 sqft (Built-up)","LEASEHOLD/99 years",1165,"Renovated | Park/greenery View | Sea View | City View | Swimming Pool View | Corner Unit | Water Heater | Intercom | Cooker Hob/hood | Air Conditioning | Balcony","Murphy Lee (PHD, SRX) Www.8838-1388.com",1160,NA,1.3738557,103.9022723,"street_address"
761,"Kingsford Waterbay","Apartment","$880,000","$1,339 psf (Built-up)",2018,"Apartment","Kingsford Property Development Pte Ltd","66 Upper Serangoon View (533885)","D19 - Hougang / Punggol / Sengkang","2",NA,NA,NA,"657 sqft (Built-up)","LEASEHOLD/99 years",1165,"Swimming Pool View | Park/greenery View | City View | Corner Unit | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Murphy Lee (PHD, SRX) Www.8838-1388.com",1160,NA,1.3738557,103.9022723,"street_address"
762,"Fernvale Lane","HDB 5 Rooms","$440,000","$368 psf (Built-up)",2004,"Improved",NA,"403B Fernvale Lane (792403)",NA,"3",2,"Fully Furnished","MID","111 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Park/greenery View | Renovated | Air Conditioning | Water Heater | Cooker Hob/hood | Bombshelter","Jaibin Pappachan",510,"Sengkang",1.388881,103.872916,"street_address"
763,"Tai Hwan Garden","Terrace","$3,100,000","$1,631 psf (Land) /$1,240 psf (Built-up)",2012,"Inter Terrace",NA,"Tai Hwan Close","D19 - Hougang / Punggol / Sengkang","4",3,NA,NA,"1,900 sqft (Land) / 2,500 sqft (Built-up)","FREEHOLD",302,"Renovated | Air Conditioning | Cooker Hob/hood","Justine Goh Y Y",790,NA,1.3574053,103.8604766,"route"
764,"Mei Ling Street","HDB 3 Rooms","$360,000","$507 psf (Built-up)",1970,"Improved",NA,"162 Mei Ling Street (140162)",NA,"1+1",NA,NA,NA,"66 sqm (Built-up)","LEASEHOLD/99 years",NA,"City View | Renovated | Water Heater | Air Conditioning | Cooker Hob/hood","Jerry Lee Kian Kiong",440,"Queenstown",1.2922183,103.8029327,"street_address"
765,"Queens Peak","Condominium","$1,423,920","$1,504 psf (Built-up)",2020,"Condominium","HY Realty (Dundee) Pte Ltd","1 Dundee Road (149456)","D3 - Alexandra / Commonwealth","3",2,"Partially Furnished",NA,"947 sqft (Built-up)","LEASEHOLD/99 years",736,"Air Conditioning | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Nelly Moo (EXPERT-SRX)",90,NA,1.2950313,103.8070953,"street_address"
766,"Jurong West Street 81","HDB Executive","$480,000","$305 psf (Built-up)",1993,"Apartment",NA,"830 Jurong West Street 81 (640830)",NA,"5",NA,NA,NA,"146 sqm (Built-up)","LEASEHOLD/99 years",NA,"Air Conditioning | Cooker Hob/hood","Jenny Lum",970,"Jurong West",1.3453583,103.6934588,"street_address"
767,"Choa Chu Kang Crescent","HDB 4 Rooms","$350,000","$361 psf (Built-up)",NA,"Model A",NA,"692B Choa Chu Kang Crescent (682692)",NA,"3",2,"Partially Furnished","HIGH","90 sqm (Built-up)","LEASEHOLD/99 years",NA,"Air Conditioning | Water Heater | Cooker Hob/hood","Shirley Chong",570,"Choa Chu Kang",1.400728,103.751324,"street_address"
768,"Carpmael Thirty-Eight","Apartment","$1,968,590","$1,678 psf (Built-up)",NA,"Low Rise","LWH Carpmael Pte Ltd","38 Carpmael Road (429781)","D15 - East Coast / Marine Parade","3+2",2,"Partially Furnished",NA,"1,173 sqft (Built-up)","FREEHOLD",16,"Renovated | Park/greenery View | Corner Unit | Bathtub | Intercom | Cooker Hob/hood | Air Conditioning | Water Heater | Balcony","Neeza Ali",790,NA,1.313188,103.897916,"street_address"
769,"Jalan Haji Alias","Semi-Detached","$6,800,000","$1,505 psf (Land) /$1,895 psf (Built-up)",1992,"Semi-detached",NA,"Jalan Haji Alias","D10 - Tanglin / Holland / Bukit Timah","4",NA,"Partially Furnished","GROUND","4,517 sqft (Land) / 3,588 sqft (Built-up)","FREEHOLD",NA,"Swimming Pool View | Park/greenery View | Renovated | Air Conditioning | Cooker Hob/hood | Private Pool | Bathtub | Hairdryer | Water Heater","Derrick Ang",810,NA,1.3233126,103.7945601,"route"
770,"Harvey Avenue","Detached","$5,500,000","$990 psf (Land) /$846 psf (Built-up)",1998,"Detached",NA,"Harvey Avenue","D16 - Bedok / Upper East Coast","6",NA,NA,NA,"5,550 sqft (Land) / 6,500 sqft (Built-up)","FREEHOLD",NA,"Renovated | Cooker Hob/hood | Air Conditioning | Water Heater | Terrace","Fanny Gunawan",550,NA,1.3382936,103.9545066,"route"
771,"Woodlands Park","Semi-Detached","$3,200,000","$774 psf (Land) /$744 psf (Built-up)",2009,"Semi-detached","CENTRAL","Jalan Jendela","D25 - Admiralty / Woodlands","5",NA,NA,NA,"4,130 sqft (Land) / 4,300 sqft (Built-up)","FREEHOLD",NA,"Park/greenery View | Renovated | Corner Unit | Air Conditioning | Cooker Hob/hood | Intercom | Bathtub | Water Heater | Balcony | Garage | Outdoor Patio | Roof Terrace | Walk-in-wardrobe | Private Garden","Derrick Ang",1100,NA,1.415458,103.7584253,"route"
772,"Picardy Garden","Semi-Detached","$5,500,000","$1,341 psf (Land) /$1,078 psf (Built-up)",2012,"Semi-detached",NA,"Jalan Pari Burong","D16 - Bedok / Upper East Coast","6",5,"Partially Furnished",NA,"4,100 sqft (Land) / 5,100 sqft (Built-up)","FREEHOLD",NA,"Renovated | Air Conditioning | Private Pool | Cooker Hob/hood | Air Conditioning | Bombshelter | Balcony | Walk-in-wardrobe | Private Garden","Irene Foo",810,NA,1.3343046,103.9462817,"route"
773,"Skies Miltonia","Condominium","$818,000","$1,135 psf (Built-up)",2016,"Condominium","TG Master Pte Ltd","23 Miltonia Close (768059)","D27 - Sembawang / Yishun","2",NA,NA,NA,"721 sqft (Built-up)","LEASEHOLD/99 years",420,"Reflective Pool | Sky Gym | Fitness Station | Bbq And Alfresco Dining | Sun Deck | Tranquil Garden | Celebration Lawn | Serene Garden | Wet Lounge | 50M Lap Pool And Leisure Pool | Shuttle Bus Waiting Area | Water Spa Alcoves | Splash Pad | Children's Playground | Changing Rooms With Sauna | Children's Pool | Cabana | Pool Deck | Garden And Waterscape | Shops | Jogging Track | Club Orion | Tennis Court | Mediation Garden | Arrival Plaza | Park/greenery View | Cooker Hob/hood | Air Conditioning | Water Heater | Bombshelter | Balcony","Eric Kwek",1620,NA,1.4179417,103.8473666,"street_address"
774,"Grandeur Park Residences","Condominium","$1,143,000","$1,714 psf (Built-up)",2021,"Condominium","CEL-Changi Pte Ltd","zz Bedok South Avenue 3 (4699979)","D16 - Bedok / Upper East Coast","2",2,"Partially Furnished","HIGH","667 sqft (Built-up)","LEASEHOLD/99 years",720,"Park/greenery View | Original Condition | Air Conditioning | Water Heater | Cooker Hob/hood | Walk-in-wardrobe | Balcony","Henry Lim (MBA, EXPERT-SRX)",160,NA,NA,NA,NA
775,"Grandeur Park Residences","Condominium","$1,070,000","$1,715 psf (Built-up)",2021,"Condominium","CEL-Changi Pte Ltd","zz Bedok South Avenue 3 (4699979)","D16 - Bedok / Upper East Coast","2",2,"Partially Furnished","LOW","624 sqft (Built-up)","LEASEHOLD/99 years",720,"Original Condition | Park/greenery View | Air Conditioning | Water Heater | Cooker Hob/hood | Walk-in-wardrobe | Balcony","Tina Lee Kim Lian",160,NA,NA,NA,NA
776,"Kingsford Waterbay","Apartment","$1,100,000","$1,294 psf (Built-up)",2018,"Apartment","Kingsford Property Development Pte Ltd","80 Upper Serangoon View (533878)","D19 - Hougang / Punggol / Sengkang","3",3,"Partially Furnished",NA,"850 sqft (Built-up)","LEASEHOLD/99 years",1165,"Park/greenery View | Sea View | City View | Swimming Pool View | Original Condition | Corner Unit | Water Heater | Intercom | Cooker Hob/hood | Air Conditioning | Balcony","Murphy Lee (PHD, SRX) Www.8838-1388.com",940,NA,1.3738557,103.9022723,"street_address"
777,"Rivervale Drive","HDB 5 Rooms","$460,000","$389 psf (Built-up)",2000,"Improved",NA,"121B Rivervale Drive (542121)",NA,"3",2,"Fully Furnished","HIGH","110 sqm (Built-up)","LEASEHOLD/99 years",NA,"Corner Unit | Renovated | Air Conditioning | Water Heater | Bombshelter","Judy Leow",200,"Sengkang",1.386912,103.904704,"street_address"
778,"Thomson Impressions","Apartment","$2,786,700","$1,370 psf (Built-up)",2019,"Apartment","NS Property (Thomson) Pte Ltd","3 Lorong Puntong (576444)","D20 - Ang Mo Kio / Bishan / Thomson","4",3,"Partially Furnished","HIGH","2,034 sqft (Built-up)","LEASEHOLD/99 years",288,"Park/greenery View | Original Condition | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",450,NA,1.3602574,103.83069,"street_address"
779,"Thomson Impressions","Apartment","$2,786,700","$1,370 psf (Built-up)",2019,"Apartment","NS Property (Thomson) Pte Ltd","1 Lorong Puntong (576443)","D20 - Ang Mo Kio / Bishan / Thomson","4",3,"Partially Furnished","GROUND","2,034 sqft (Built-up)","LEASEHOLD/99 years",288,"Park/greenery View | Air Conditioning | Original Condition | Intercom | Cooker Hob/hood | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",480,NA,1.3602574,103.83069,"street_address"
780,"Victoria Park Villas","Semi-Detached","$4,824,000","$1,688 psf (Built-up)",2018,"Cluster House","Athens Residential Development Pte Ltd","Victoria Park Grove","D10 - Tanglin / Holland / Bukit Timah","5",4,"Partially Furnished","GROUND","2,858 sqft (Built-up)","LEASEHOLD/99 years",109,"Park/greenery View | Original Condition | Water Heater | Air Conditioning | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",610,NA,1.349718,103.881869,"establishment"
781,"Victoria Park Villas","Semi-Detached","$6,000,000","$2,509 psf (Land) /$1,327 psf (Built-up)",2018,"Semi-detached","Athens Residential Development Pte Ltd","Victoria Park Grove","D10 - Tanglin / Holland / Bukit Timah","5",5,"Partially Furnished","GROUND","2,391 sqft (Land) / 4,521 sqft (Built-up)","LEASEHOLD/99 years",109,"Corner Unit | Park/greenery View | Original Condition | Air Conditioning | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",610,NA,1.349718,103.881869,"establishment"
782,"Thomson Impressions","Apartment","$2,650,000","$1,303 psf (Built-up)",2019,"Apartment","NS Property (Thomson) Pte Ltd","3 Lorong Puntong (576444)","D20 - Ang Mo Kio / Bishan / Thomson","4",3,"Partially Furnished","HIGH","2,034 sqft (Built-up)","LEASEHOLD/99 years",288,"Park/greenery View | Original Condition | Water Heater | Intercom | Cooker Hob/hood | Air Conditioning | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",450,NA,1.3602574,103.83069,"street_address"
783,"Thomson Impressions","Apartment","$2,650,000","$1,303 psf (Built-up)",2019,"Apartment","NS Property (Thomson) Pte Ltd","3 Lorong Puntong (576444)","D20 - Ang Mo Kio / Bishan / Thomson","4",3,"Partially Furnished","MID","2,034 sqft (Built-up)","LEASEHOLD/99 years",288,"Park/greenery View | Original Condition | Cooker Hob/hood | Water Heater | Intercom | Air Conditioning | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",450,NA,1.3602574,103.83069,"street_address"
784,"One Eighties Residences","Apartment","$1,718,000","$1,388 psf (Built-up)",2015,"Apartment","Santa Land Pte Ltd","186 Joo Chiat Terrace (427332)","D15 - East Coast / Marine Parade","3",1,"Partially Furnished","LOW","1,238 sqft (Built-up)","FREEHOLD",52,"Guard House | Swimming Pool | Bbq Area | Main Entrance | Gymnasium | Pool Deck | City View | Park/greenery View | Original Condition | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",650,NA,1.3151543,103.9052879,"street_address"
785,"Corals At Keppel Bay","Condominium","$1,494,000","$2,571 psf (Built-up)",2018,"Condominium","Keppel Bay Pte Ltd","23 Keppel Bay Drive (098023)","D4 - Sentosa / Harbourfront","1",1,"Not Furnished","MID","581 sqft (Built-up)","LEASEHOLD/99 years",366,"Clubhouse | Changing Rooms | Public Promenade | Jacuzzi / Hydro Spa | Bbq Area | Play Area | Water Feature | Kid's Pool / Splash Pool With Jumping Jets | Reflective Pools | Tennis Court | 50M Lap Pool | Pathway / Forest Walk | Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",650,NA,1.2670693,103.8171989,"street_address"
786,"Corals At Keppel Bay","Condominium","$1,494,000","$2,571 psf (Built-up)",2018,"Condominium","Keppel Bay Pte Ltd","23 Keppel Bay Drive (098023)","D4 - Sentosa / Harbourfront","1",1,"Partially Furnished","LOW","581 sqft (Built-up)","LEASEHOLD/99 years",366,"Kid's Pool / Splash Pool With Jumping Jets | Jacuzzi / Hydro Spa | Pathway / Forest Walk | Clubhouse | Bbq Area | Water Feature | 50M Lap Pool | Public Promenade | Tennis Court | Reflective Pools | Play Area | Changing Rooms | Original Condition | Park/greenery View | Air Conditioning | Water Heater | Intercom | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",650,NA,1.2670693,103.8171989,"street_address"
787,"Seletar Hills Estate","Detached","View to offer",NA,2007,"Detached","BUKIT SEMABWANG ESTATES LIMITED","MIMOSA CRESCENT","D28 - Seletar / Yio Chu Kang","5",6,NA,NA,"7,857 sqft (Land) / 8,000 sqft (Built-up)","FREEHOLD",NA,"Renovated | Private Pool | Air Conditioning | Bathtub | Water Heater | Cooker Hob/hood | Jacuzzi | Maidsroom | Balcony","Ong Toon Hwang",1620,NA,1.3847012,103.8634675,"route"
788,"Marine Blue","Condominium","$1,568,000","$2,276 psf (Built-up)",2016,"Condominium","Ladyhill (Private) Limited","89 MARINE PARADE ROAD (449313)","D15 - East Coast / Marine Parade","1",1,"Partially Furnished","LOW","689 sqft (Built-up)","FREEHOLD",124,"Original Condition | Park/greenery View | Air Conditioning | Intercom | Water Heater | Cooker Hob/hood | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",160,NA,1.3037008,103.9051099,"premise"
789,"The Florentine","Apartment","$1,200,000","$1,083 psf (Built-up)",2011,"Apartment","Roxy Homes Pte Ltd","68 Florence Road (549555)","D19 - Hougang / Punggol / Sengkang","3",NA,NA,NA,"1,108 sqft (Built-up)","947 years from 05/10/1934",34,"Renovated | Corner Unit | Intercom | Cooker Hob/hood | Balcony | Maidsroom","Shirley Tan",790,NA,1.36639,103.885793,"street_address"
790,"Kingsford Waterbay","Apartment","$1,580,000","$1,299 psf (Built-up)",2018,"Apartment","Kingsford Property Development Pte Ltd","80 Upper Serangoon View (533878)","D19 - Hougang / Punggol / Sengkang","4",4,"Partially Furnished",NA,"1,216 sqft (Built-up)","LEASEHOLD/99 years",1165,"Park/greenery View | Sea View | City View | Swimming Pool View | Original Condition | Corner Unit | Water Heater | Intercom | Cooker Hob/hood | Air Conditioning | Balcony | Maidsroom | Walk-in-wardrobe | Outdoor Patio | Private Garden | Terrace","Murphy Lee (PHD, SRX) Www.8838-1388.com",940,NA,1.3738557,103.9022723,"street_address"
791,"Kingsford Waterbay","Apartment","$900,000","$1,327 psf (Built-up)",2018,"Apartment","Kingsford Property Development Pte Ltd","74 Upper Serangoon View (533881)","D19 - Hougang / Punggol / Sengkang","2",1,"Partially Furnished",NA,"678 sqft (Built-up)","LEASEHOLD/99 years",1165,"Corner Unit | Park/greenery View | Swimming Pool View | Air Conditioning | Intercom | Cooker Hob/hood | Water Heater | Balcony","Murphy Lee (PHD, SRX) Www.8838-1388.com",1040,NA,1.3738557,103.9022723,"street_address"
792,"The Crest","Condominium","$2,114,000","$1,738 psf (Built-up)",2018,"Condominium","Wingcrown Investment Pte Ltd","103 Prince Charles Crescent (159018)","D3 - Alexandra / Commonwealth","3",3,"Partially Furnished","LOW","1,216 sqft (Built-up)","LEASEHOLD/99 years",469,"Park/greenery View | Original Condition | Cooker Hob/hood | Intercom | Water Heater | Air Conditioning | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",500,NA,1.292776,103.8188412,"street_address"
793,"The Meyerise","Condominium","$15,000,000","$2,733 psf (Built-up)",2014,"Condominium","Hong Leong Holdings Ltd","97 Meyer Road (437918)","D15 - East Coast / Marine Parade","5",4,"Not Furnished","HIGH","5,489 sqft (Built-up)","FREEHOLD",239,"Table Games Pavilion | Chaise Pool | Dining Pavilion | Pool Deck | Main Entrance Drop-off | Adult Fitness Area | Children's Play Area | Reading Pavilion | Pedestrian Side Gate | Clubhouse | Jacuzzi Pool | Fun Pool | Children's Pool | Swimming Pool | Tennis Court | Visitor's Car Park | Original Condition | Park/greenery View | Air Conditioning | Hairdryer | Cooker Hob/hood | Balcony | Bombshelter","Tina Lee Kim Lian",620,NA,1.2970849,103.8925712,"street_address"
794,"iNZ Residence EC","Condominium","$818,000","$826 psf (Built-up)",2019,"Condominium",NA,"62 Choa Chu Kang Avenue 5 (688192)","D23 - Dairy Farm / Bukit Panjang / Choa Chu Kang","3",2,"Partially Furnished","MID","990 sqft (Built-up)","LEASEHOLD/99 years",NA,"Park/greenery View | Original Condition | Air Conditioning | Water Heater | Cooker Hob/hood | Intercom | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",850,NA,1.3756915,103.7390411,"route"
795,"The Crest","Condominium","$2,133,000","$1,754 psf (Built-up)",2018,"Condominium","Wingcrown Investment Pte Ltd","103 Prince Charles Crescent (159018)","D3 - Alexandra / Commonwealth","3",NA,NA,NA,"1,216 sqft (Built-up)","LEASEHOLD/99 years",469,"City View | Cooker Hob/hood | Intercom | Air Conditioning","Tina Lee Kim Lian",500,NA,1.292776,103.8188412,"street_address"
796,"Stars Of Kovan","Apartment","$1,334,720","$1,393 psf (Built-up)",2017,"Apartment","Kovan Treasure Pte. Ltd.","982 Upper Serangoon Road (533855)","D19 - Hougang / Punggol / Sengkang","3",2,"Partially Furnished","LOW","958 sqft (Built-up)","LEASEHOLD/99 years",395,"Original Condition | Park/greenery View | Air Conditioning | Water Heater | Cooker Hob/hood | Intercom | Balcony | Walk-in-wardrobe","Tina Lee Kim Lian",420,NA,1.3619426,103.8869999,"street_address"
797,"The Meyerise","Condominium","$15,000,000","$2,733 psf (Built-up)",2014,"Condominium","Hong Leong Holdings Ltd","97 Meyer Road (437918)","D15 - East Coast / Marine Parade","5",4,"Not Furnished","HIGH","5,489 sqft (Built-up)","FREEHOLD",239,"Main Entrance Drop-off | Dining Pavilion | Fun Pool | Adult Fitness Area | Jacuzzi Pool | Pedestrian Side Gate | Reading Pavilion | Swimming Pool | Children's Play Area | Children's Pool | Pool Deck | Chaise Pool | Visitor's Car Park | Table Games Pavilion | Tennis Court | Clubhouse | Park/greenery View | Original Condition | Air Conditioning | Hairdryer | Cooker Hob/hood | Balcony | Bombshelter","Henry Lim (MBA, EXPERT-SRX)",620,NA,1.2970849,103.8925712,"street_address"
798,"The Crest","Condominium","$2,114,000","$1,738 psf (Built-up)",2018,"Condominium","Wingcrown Investment Pte Ltd","103 Prince Charles Crescent (159018)","D3 - Alexandra / Commonwealth","3",3,"Partially Furnished","LOW","1,216 sqft (Built-up)","LEASEHOLD/99 years",469,"Park/greenery View | Original Condition | Air Conditioning | Intercom | Cooker Hob/hood | Water Heater | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",500,NA,1.292776,103.8188412,"street_address"
799,"iNZ Residence EC","Condominium","$788,000","$796 psf (Built-up)",2019,"Condominium",NA,"62 Choa Chu Kang Avenue 5 (688192)","D23 - Dairy Farm / Bukit Panjang / Choa Chu Kang","3",2,"Partially Furnished","LOW","990 sqft (Built-up)","LEASEHOLD/99 years",NA,"Park/greenery View | Original Condition | Air Conditioning | Water Heater | Cooker Hob/hood | Walk-in-wardrobe | Balcony","Henry Lim (MBA, EXPERT-SRX)",850,NA,1.3756915,103.7390411,"route"
800,"The Greenwich","Condominium","$1,050,000","$1,006 psf (Built-up)",2013,"Condominium","Far East Square Pte. Ltd.","5 Seletar Road (807013)","D28 - Seletar / Yio Chu Kang","2",1,"Partially Furnished","MID","1,044 sqft (Built-up)","LEASEHOLD/99 years",319,"Renovated | Air Conditioning | Park/greenery View | Intercom | Cooker Hob/hood | Water Heater | Balcony | Walk-in-wardrobe","Henry Lim (MBA, EXPERT-SRX)",890,NA,1.3873117,103.8687346,"street_address"
801,"The Meyerise","Condominium","$15,000,000","$2,733 psf (Built-up)",2014,"Condominium","Hong Leong Holdings Ltd","97 Meyer Road (437918)","D15 - East Coast / Marine Parade","5",4,"Not Furnished","HIGH","5,489 sqft (Built-up)","FREEHOLD",239,"Visitor's Car Park | Main Entrance Drop-off | Children's Pool | Jacuzzi Pool | Tennis Court | Pedestrian Side Gate | Children's Play Area | Swimming Pool | Chaise Pool | Table Games Pavilion | Reading Pavilion | Clubhouse | Adult Fitness Area | Fun Pool | Dining Pavilion | Pool Deck | Park/greenery View | Original Condition | Air Conditioning | Hairdryer | Cooker Hob/hood | Balcony | Bombshelter","Henry Lim (MBA, EXPERT-SRX)",620,NA,1.2970849,103.8925712,"street_address"
