Movie,Distributor,Budget,US Gross,Worldwide Gross,Release Date
"Legally Blonde 2: Red, White & Blonde ",MGM/UA,"$25,000,000 ","$90,639,088 ","$125,339,088 ",2/7/2003
Freddy vs. Jason ,New Line,"$25,000,000 ","$82,622,655 ","$114,326,122 ",15/8/2003
Jeepers Creepers II ,MGM/UA,"$25,000,000 ","$35,623,801 ",Unknown,29/8/2003
Eurotrip ,DreamWorks SKG,"$25,000,000 ","$17,718,223 ",Unknown,20/2/2004
The Passion of the Christ ,New Market,"$25,000,000 ","$370,782,930 ","$611,899,420 ",25/2/2004
Scooby-Doo 2: Monsters Unleashed ,Warner Bros.,"$25,000,000 ","$84,185,387 ","$181,185,387 ",26/3/2004
The Girl Next Door ,20th Century Fox,"$25,000,000 ","$14,589,444 ","$18,589,444 ",9/4/2004
Anchorman: The Legend of Ron Burgundy ,DreamWorks SKG,"$25,000,000 ","$84,136,909 ","$89,366,354 ",9/7/2004
Anacondas: The Hunt for the Blood Orchid ,Sony,"$25,000,000 ","$31,526,393 ","$70,326,393 ",27/8/2004
Finding Neverland ,Miramax,"$25,000,000 ","$51,676,606 ","$118,676,606 ",12/11/2004
Hide and Seek ,20th Century Fox,"$25,000,000 ","$51,100,486 ","$123,100,486 ",28/1/2005
Ice Princess ,Buena Vista,"$25,000,000 ","$24,381,334 ","$25,732,334 ",18/3/2005
Beauty Shop ,MGM/UA,"$25,000,000 ","$36,351,350 ","$38,351,350 ",30/3/2005
A Lot Like Love ,Buena Vista,"$25,000,000 ","$21,835,784 ","$47,835,784 ",22/4/2005
King's Ransom ,New Line,"$25,000,000 ","$4,008,527 ","$4,049,527 ",22/4/2005
Sisterhood of the Traveling Pants ,Warner Bros.,"$25,000,000 ","$39,053,061 ","$41,560,117 ",1/6/2005
The Lords of Dogtown ,Sony,"$25,000,000 ","$11,273,517 ","$11,354,893 ",3/6/2005
Underclassman ,Miramax,"$25,000,000 ","$5,654,777 ",Unknown,2/9/2005
Venom ,Dimension,"$25,000,000 ","$881,745 ",Unknown,16/9/2005
The Greatest Game Ever Played ,Buena Vista,"$25,000,000 ","$15,331,289 ","$15,425,073 ",30/9/2005
Where the Truth Lies ,ThinkFilm,"$25,000,000 ","$872,142 ","$1,415,656 ",14/10/2005
The World's Fastest Indian ,,"$25,000,000 ","$5,128,124 ","$16,509,706 ",7/12/2005
BloodRayne ,,"$25,000,000 ","$2,405,420 ",Unknown,6/1/2006
Nanny McPhee ,Universal,"$25,000,000 ","$47,279,279 ","$122,279,279 ",27/1/2006
Final Destination 3 ,New Line,"$25,000,000 ","$54,098,051 ","$112,798,051 ",10/2/2006
She's the Man ,DreamWorks SKG,"$25,000,000 ","$33,889,159 ","$56,889,159 ",17/3/2006
The Omen ,20th Century Fox,"$25,000,000 ","$54,607,383 ","$119,607,383 ",6/6/2006
Unaccompanied Minors ,Warner Bros.,"$25,000,000 ","$16,655,224 ","$21,949,214 ",8/12/2006
Bridge to Terabithia ,Buena Vista,"$25,000,000 ","$82,234,139 ","$136,934,139 ",16/2/2007
The Hoax ,,"$25,000,000 ","$7,164,995 ",Unknown,6/4/2007
Hot Rod ,Paramount Pictures,"$25,000,000 ","$13,938,332 ","$14,334,401 ",3/8/2007
War ,Lion's Gate,"$25,000,000 ","$22,466,994 ","$40,666,994 ",24/8/2007
Mr. Bean's Holiday ,Universal,"$25,000,000 ","$33,302,167 ","$229,700,105 ",24/8/2007
Good Luck Chuck ,Lion's Gate,"$25,000,000 ","$35,017,297 ","$59,183,821 ",21/9/2007
No Country for Old Men ,Miramax,"$25,000,000 ","$74,273,505 ","$162,103,209 ",9/11/2007
August Rush ,Warner Bros.,"$25,000,000 ","$31,664,162 ","$65,627,510 ",21/11/2007
Cloverfield ,Paramount Pictures,"$25,000,000 ","$80,048,433 ","$170,764,033 ",18/1/2008
The Ruins ,Paramount Pictures,"$25,000,000 ","$17,432,844 ","$22,177,122 ",4/4/2008
Fly Me To the Moon ,,"$25,000,000 ","$14,532,946 ","$40,087,234 ",15/8/2008
The House Bunny ,,"$25,000,000 ","$48,237,389 ","$70,237,389 ",22/8/2008
Blindness ,Miramax,"$25,000,000 ","$3,073,392 ","$14,542,658 ",3/10/2008
Taken ,,"$25,000,000 ","$145,000,989 ","$225,461,461 ",30/1/2009
Dance Flick ,Paramount Pictures,"$25,000,000 ","$25,662,155 ","$32,092,761 ",22/5/2009
The Box ,Warner Bros.,"$25,000,000 ","$15,051,977 ",Unknown,6/11/2009
Bad Lieutenant: Port of Call New Orleans ,,"$25,000,000 ","$1,616,556 ",Unknown,20/11/2009
Me and Orson Welles ,,"$25,000,000 ","$1,134,606 ",Unknown,25/11/2009
Shinjuku Incident ,Barking Cow,"$25,000,000 ",Unknown,Unknown,5/2/2010
Star Trek IV: The Voyage Home ,Paramount Pictures,"$24,000,000 ","$109,713,132 ","$133,000,000 ",26/11/1986
The Princess and the Cobbler ,,"$24,000,000 ","$669,276 ",Unknown,25/8/1995
Scream 2 ,Miramax,"$24,000,000 ","$101,363,301 ",Unknown,12/12/1997
Meet the Deedles ,Buena Vista,"$24,000,000 ","$4,356,126 ",Unknown,27/3/1998
I Still Know What You Did Last Summer ,Sony,"$24,000,000 ","$40,020,622 ",Unknown,13/11/1998
Muppets From Space ,Sony,"$24,000,000 ","$16,304,786 ",Unknown,14/7/1999
"Girl, Interrupted ",Sony,"$24,000,000 ","$28,871,190 ",Unknown,21/12/1999
Play it to the Bone ,Buena Vista,"$24,000,000 ","$8,427,204 ",Unknown,24/12/1999
The Whole Nine Yards ,Warner Bros.,"$24,000,000 ","$57,262,492 ","$85,262,492 ",18/2/2000
Ready to Rumble ,Warner Bros.,"$24,000,000 ","$12,372,410 ",Unknown,7/4/2000
Return to Me ,MGM/UA,"$24,000,000 ","$32,662,299 ",Unknown,7/4/2000
Nurse Betty ,USA Films,"$24,000,000 ","$25,170,054 ","$27,732,366 ",8/9/2000
Double Take ,Buena Vista,"$24,000,000 ","$29,823,162 ",Unknown,12/1/2001
Old School ,DreamWorks SKG,"$24,000,000 ","$75,155,000 ","$86,325,829 ",21/2/2003
Win a Date with Tad Hamilton! ,DreamWorks SKG,"$24,000,000 ","$16,980,098 ",Unknown,23/1/2004
Beyond the Sea ,Lion's Gate,"$24,000,000 ","$6,144,806 ","$7,061,637 ",17/12/2004
The Bridge of San Luis Rey ,,"$24,000,000 ","$49,981 ","$1,696,765 ",10/6/2005
Rocky Balboa ,MGM/UA,"$24,000,000 ","$70,269,899 ","$155,720,088 ",20/12/2006
Zack and Miri Make a Porno ,Weinstein Co.,"$24,000,000 ","$31,452,765 ","$36,851,125 ",31/10/2008
The Men Who Stare at Goats ,Overture,"$24,000,000 ","$32,421,961 ","$48,221,961 ",6/11/2009
Zombieland ,Sony,"$23,600,000 ","$75,590,286 ","$98,690,286 ",2/10/2009
Star Wars Ep. V: The Empire Strikes Back ,20th Century Fox,"$23,000,000 ","$290,271,960 ","$534,171,960 ",21/5/1980
Jaws 4: The Revenge ,Universal,"$23,000,000 ","$15,728,335 ",Unknown,17/7/1987
The Naked Gun 2½: The Smell of Fear ,Paramount Pictures,"$23,000,000 ","$86,930,411 ",Unknown,28/6/1991
Harley Davidson and the Marlboro Man ,MGM/UA,"$23,000,000 ","$7,018,525 ",Unknown,23/8/1991
Bad Boys ,Sony,"$23,000,000 ","$65,647,413 ","$141,247,413 ",7/4/1995
Marvin's Room ,Miramax,"$23,000,000 ","$12,803,305 ",Unknown,18/12/1996
The Waterboy ,Buena Vista,"$23,000,000 ","$161,491,646 ","$190,191,646 ",6/11/1998
Anywhere But Here ,20th Century Fox,"$23,000,000 ","$18,653,615 ",Unknown,12/11/1999
The End of the Affair ,Sony,"$23,000,000 ","$10,660,147 ",Unknown,3/12/1999
Pitch Black ,USA Films,"$23,000,000 ","$39,235,088 ","$53,182,088 ",18/2/2000
Final Destination ,New Line,"$23,000,000 ","$53,302,314 ","$112,802,314 ",17/3/2000
The Crew ,Buena Vista,"$23,000,000 ","$13,019,253 ",Unknown,25/8/2000
Someone Like You ,20th Century Fox,"$23,000,000 ","$27,338,033 ","$38,684,906 ",30/3/2001
Joy Ride ,20th Century Fox,"$23,000,000 ","$21,973,182 ",Unknown,5/10/2001
Chasing Liberty ,Warner Bros.,"$23,000,000 ","$12,189,514 ","$12,291,975 ",9/1/2004
Vanity Fair ,Focus Features,"$23,000,000 ","$16,123,851 ","$19,123,851 ",1/9/2004
In the Valley of Elah ,Warner Bros.,"$23,000,000 ","$6,777,741 ","$24,489,150 ",14/9/2007
Cheri ,Miramax,"$23,000,000 ","$2,715,657 ",Unknown,26/6/2009
Coco avant Chanel ,Sony Classics,"$23,000,000 ","$6,095,004 ","$43,989,087 ",25/9/2009
Spaceballs ,MGM/UA,"$22,700,000 ","$38,119,483 ",Unknown,24/6/1987
1408,Dimension,"$22,500,000 ","$71,985,628 ","$128,529,299 ",22/6/2007
The Island ,Universal,"$22,000,000 ","$15,716,828 ",Unknown,13/6/1980
Gandhi ,Columbia,"$22,000,000 ","$52,767,889 ",Unknown,8/12/1982
Ghost ,Paramount Pictures,"$22,000,000 ","$217,631,306 ","$517,600,000 ",13/7/1990
RoboCop 3 ,Orion,"$22,000,000 ","$10,696,210 ",Unknown,5/11/1993
Shadowlands ,Savoy,"$22,000,000 ","$25,842,377 ",Unknown,29/12/1993
The Santa Clause ,Buena Vista,"$22,000,000 ","$144,833,357 ","$189,800,000 ",11/11/1994
The Bridges of Madison County ,Warner Bros.,"$22,000,000 ","$71,516,617 ","$175,516,617 ",2/6/1995
The Net ,Sony,"$22,000,000 ","$50,621,733 ","$110,521,733 ",28/7/1995
There's Something About Mary ,20th Century Fox,"$22,000,000 ","$176,484,651 ","$360,099,999 ",15/7/1998
Summer of Sam ,Buena Vista,"$22,000,000 ","$19,288,130 ",Unknown,2/7/1999
Dudley Do-Right ,Universal,"$22,000,000 ","$9,818,792 ",Unknown,27/8/1999
The Little Vampire ,New Line,"$22,000,000 ","$13,555,988 ",Unknown,27/10/2000
Saving Silverman ,Sony,"$22,000,000 ","$19,351,569 ",Unknown,9/2/2001
Josie and the Pussycats ,Universal,"$22,000,000 ","$14,252,830 ",Unknown,11/4/2001
The Animal ,Sony,"$22,000,000 ","$55,762,229 ",Unknown,1/6/2001
Jay and Silent Bob Strike Back ,Dimension,"$22,000,000 ","$30,059,386 ","$33,762,400 ",24/8/2001
The Glass House ,Sony,"$22,000,000 ","$17,951,431 ","$22,861,785 ",14/9/2001
Megiddo: Omega Code 2 ,8 X Entertainment,"$22,000,000 ","$6,047,691 ",Unknown,21/9/2001
I Am Sam ,New Line,"$22,000,000 ","$40,270,895 ",Unknown,28/12/2001
The Rookie ,Buena Vista,"$22,000,000 ","$75,600,072 ","$80,693,537 ",29/3/2002
Underworld ,Sony,"$22,000,000 ","$51,970,690 ","$95,708,457 ",19/9/2003
I Heart Huckabees ,Fox Searchlight,"$22,000,000 ","$12,784,713 ","$14,584,713 ",1/10/2004
Deuce Bigalow: European Gigolo ,Sony,"$22,000,000 ","$22,400,154 ","$44,400,154 ",12/8/2005
Derailed ,Miramax,"$22,000,000 ","$36,020,063 ","$54,962,616 ",11/11/2005
The Libertine ,Miramax,"$22,000,000 ","$4,835,065 ","$9,448,623 ",23/11/2005
Joyeux Noël ,,"$22,000,000 ","$1,054,361 ",Unknown,3/3/2006
Zwartboek ,Sony Classics,"$22,000,000 ","$4,398,392 ",Unknown,6/4/2007
The Game Plan ,Buena Vista,"$22,000,000 ","$90,648,202 ","$147,914,546 ",28/9/2007
Traitor ,Overture,"$22,000,000 ","$23,530,831 ","$23,879,884 ",27/8/2008
The Informant ,Warner Bros.,"$22,000,000 ","$33,316,821 ","$33,959,500 ",18/9/2009
Molière ,,"$21,600,000 ","$635,733 ","$791,154 ",27/7/2007
My Fellow Americans ,Warner Bros.,"$21,500,000 ","$22,331,846 ",Unknown,20/12/1996
Arlington Road ,Sony,"$21,500,000 ","$24,419,219 ",Unknown,9/7/1999
Michael Clayton ,,"$21,500,000 ","$49,033,882 ","$92,987,651 ",5/10/2007
Firefox ,Warner Bros.,"$21,000,000 ","$45,785,720 ",Unknown,18/6/1982
Teenage Mutant Ninja Turtles III ,New Line,"$21,000,000 ","$42,273,609 ",Unknown,19/3/1993
The Rage: Carrie 2 ,MGM/UA,"$21,000,000 ","$17,760,244 ",Unknown,12/3/1999
"South Park: Bigger, Longer & Uncut ",Paramount Pictures,"$21,000,000 ","$52,037,603 ",Unknown,30/6/1999
Molly ,MGM/UA,"$21,000,000 ","$17,396 ",Unknown,22/10/1999
The Bachelor ,New Line,"$21,000,000 ","$21,731,001 ","$36,882,378 ",5/11/1999
Hardball ,Paramount Pictures,"$21,000,000 ","$40,222,729 ","$44,102,389 ",14/9/2001
Moonlight Mile ,Buena Vista,"$21,000,000 ","$6,830,957 ",Unknown,27/9/2002
The Transporter ,20th Century Fox,"$21,000,000 ","$25,296,447 ","$43,928,932 ",11/10/2002
Freedom Writers ,Paramount Pictures,"$21,000,000 ","$36,605,602 ","$43,090,741 ",5/1/2007
Never Back Down ,Summit,"$21,000,000 ","$24,850,922 ","$39,319,801 ",14/3/2008
Away We Go ,Focus Features,"$21,000,000 ","$9,451,946 ","$10,020,272 ",5/6/2009
eXistenZ ,Miramax,"$20,700,000 ","$2,840,417 ",Unknown,23/4/1999
Can't Stop the Music ,,"$20,000,000 ","$2,000,000 ",Unknown,1/1/1980
Popeye ,Paramount Pictures,"$20,000,000 ","$49,823,037 ",Unknown,12/12/1980
Raiders of the Lost Ark ,Paramount Pictures,"$20,000,000 ","$245,034,358 ","$386,800,358 ",12/6/1981
Under the Rainbow ,Warner Bros.,"$20,000,000 ","$18,826,490 ",Unknown,31/7/1981
Conan the Barbarian ,Universal,"$20,000,000 ","$38,264,085 ",Unknown,14/5/1982
Ladyhawke ,Warner Bros.,"$20,000,000 ","$18,400,000 ",Unknown,12/4/1985
Beverly Hills Cop II ,Paramount Pictures,"$20,000,000 ","$153,665,036 ","$276,665,036 ",20/5/1987
We're No Angels ,Paramount Pictures,"$20,000,000 ","$10,555,348 ",Unknown,15/12/1989
Quigley Down Under ,MGM/UA,"$20,000,000 ","$21,413,105 ",Unknown,19/10/1990
Edward Scissorhands ,20th Century Fox,"$20,000,000 ","$53,976,987 ",Unknown,7/12/1990
The Silence of the Lambs ,,"$20,000,000 ","$130,726,716 ","$275,726,716 ",14/2/1991
Bill & Ted's Bogus Journey ,Orion,"$20,000,000 ","$37,537,675 ",Unknown,19/7/1991
Beauty and the Beast ,Walt Disney Co.,"$20,000,000 ","$171,340,294 ","$403,476,931 ",13/11/1991
Wayne's World ,Paramount Pictures,"$20,000,000 ","$121,697,323 ","$183,097,323 ",14/2/1992
Home Alone 2: Lost in New York ,20th Century Fox,"$20,000,000 ","$173,585,516 ","$358,994,850 ",20/11/1992
3 Ninjas Kick Back ,Buena Vista,"$20,000,000 ","$11,744,960 ",Unknown,6/5/1994
Rapa Nui ,,"$20,000,000 ","$305,070 ",Unknown,11/9/1994
Mortal Kombat ,New Line,"$20,000,000 ","$70,433,227 ","$122,133,227 ",18/8/1995
To Die For ,Sony,"$20,000,000 ","$21,284,514 ","$27,688,744 ",27/9/1995
Copycat ,Warner Bros.,"$20,000,000 ","$32,051,917 ",Unknown,27/10/1995
Eye for an Eye ,Paramount Pictures,"$20,000,000 ","$26,792,700 ",Unknown,12/1/1996
From Dusk Till Dawn ,Dimension,"$20,000,000 ","$25,728,961 ",Unknown,19/1/1996
Everyone Says I Love You ,Miramax,"$20,000,000 ","$9,725,847 ","$34,600,000 ",6/12/1996
Selena ,Warner Bros.,"$20,000,000 ","$35,450,113 ",Unknown,21/3/1997
The Man Who Knew Too Little ,Warner Bros.,"$20,000,000 ","$13,801,755 ",Unknown,14/11/1997
Deconstructing Harry ,Fine Line,"$20,000,000 ","$10,686,841 ",Unknown,12/12/1997
Twilight ,Paramount Pictures,"$20,000,000 ","$15,055,091 ",Unknown,6/3/1998
Wild Things ,Sony,"$20,000,000 ","$29,795,299 ",Unknown,20/3/1998
"Couloirs du temps: Les visiteurs 2, Les ",Lion's Gate,"$20,000,000 ","$146,072 ","$26,146,072 ",27/3/1998
How Stella Got Her Groove Back ,20th Century Fox,"$20,000,000 ","$37,672,944 ",Unknown,14/8/1998
Simon Birch ,Buena Vista,"$20,000,000 ","$18,253,415 ",Unknown,11/9/1998
Vampires ,Sony,"$20,000,000 ","$20,268,825 ",Unknown,30/10/1998
Psycho ,Universal,"$20,000,000 ","$21,541,218 ","$37,226,218 ",4/12/1998
Three to Tango ,Warner Bros.,"$20,000,000 ","$10,570,375 ",Unknown,22/10/1999
Mononoke-hime ,Miramax,"$20,000,000 ","$2,374,107 ","$150,350,000 ",29/10/1999
Topsy Turvy ,USA Films,"$20,000,000 ","$6,201,757 ",Unknown,17/12/1999
The Tigger Movie ,Buena Vista,"$20,000,000 ","$4,554,533 ","$55,159,800 ",11/2/2000
High Fidelity ,Buena Vista,"$20,000,000 ","$27,277,055 ","$48,277,055 ",31/3/2000
Loser ,Sony,"$20,000,000 ","$15,464,026 ","$18,250,106 ",21/7/2000
The Yards ,Miramax,"$20,000,000 ","$882,710 ","$2,282,710 ",20/10/2000
Peter Pan: Return to Neverland ,Buena Vista,"$20,000,000 ","$48,430,258 ","$109,862,682 ",15/2/2002
The Country Bears ,Buena Vista,"$20,000,000 ","$16,988,996 ",Unknown,26/7/2002
Ghost Ship ,Warner Bros.,"$20,000,000 ","$30,113,491 ","$68,349,884 ",25/10/2002
The Quiet American ,Miramax,"$20,000,000 ","$12,987,647 ",Unknown,22/11/2002
Equilibrium ,Dimension,"$20,000,000 ","$1,190,018 ","$5,345,869 ",6/12/2002
Drumline ,20th Century Fox,"$20,000,000 ","$56,398,162 ",Unknown,13/12/2002
A Guy Thing ,MGM/UA,"$20,000,000 ","$15,543,862 ","$17,430,594 ",17/1/2003
The Jungle Book 2 ,Buena Vista,"$20,000,000 ","$47,901,582 ","$135,703,599 ",14/2/2003
Bringing Down the House ,Buena Vista,"$20,000,000 ","$132,675,402 ","$164,675,402 ",7/3/2003
Willard ,New Line,"$20,000,000 ","$6,882,696 ",Unknown,14/3/2003
Holes ,Walt Disney Pictures,"$20,000,000 ","$67,383,924 ","$72,383,924 ",18/4/2003
People I Know ,Miramax,"$20,000,000 ","$121,972 ",Unknown,25/4/2003
Marci X ,Paramount Pictures,"$20,000,000 ","$1,646,664 ",Unknown,22/8/2003
The School of Rock ,Paramount Pictures,"$20,000,000 ","$81,261,177 ","$131,161,177 ",3/10/2003
21 Grams ,Focus Features,"$20,000,000 ","$16,248,701 ","$60,448,701 ",21/11/2003
Eternal Sunshine of the Spotless Mind ,Focus Features,"$20,000,000 ","$34,366,518 ","$47,066,518 ",19/3/2004
Bon Voyage ,Sony Classics,"$20,000,000 ","$2,353,728 ","$8,361,736 ",19/3/2004
The Touch ,Miramax,"$20,000,000 ",Unknown,"$5,918,742 ",31/3/2004
Connie & Carla ,Universal,"$20,000,000 ","$8,047,525 ","$8,047,525 ",16/4/2004
Envy ,DreamWorks SKG,"$20,000,000 ","$13,548,322 ","$14,566,246 ",30/4/2004
White Chicks ,Sony,"$20,000,000 ","$69,148,997 ","$111,448,997 ",23/6/2004
Yu-Gi-Oh ,Warner Bros.,"$20,000,000 ","$19,762,690 ","$28,762,690 ",13/8/2004
Super Babies: Baby Geniuses 2 ,Sony,"$20,000,000 ","$9,109,322 ",Unknown,27/8/2004
Paparazzi ,20th Century Fox,"$20,000,000 ","$15,712,072 ","$16,612,072 ",3/9/2004
Team America: World Police ,Paramount Pictures,"$20,000,000 ","$32,774,834 ","$50,274,834 ",15/10/2004
Birth ,New Line,"$20,000,000 ","$5,005,899 ","$14,603,001 ",29/10/2004
Are We There Yet? ,Sony,"$20,000,000 ","$82,674,398 ","$97,918,663 ",21/1/2005
Alone in the Dark ,Artisan,"$20,000,000 ","$5,178,569 ","$8,178,569 ",28/1/2005
Boogeyman ,Sony,"$20,000,000 ","$46,752,382 ","$67,192,859 ",4/2/2005
Pooh's Heffalump Movie ,Buena Vista,"$20,000,000 ","$18,098,433 ","$52,858,433 ",11/2/2005
Steamboy ,Sony,"$20,000,000 ","$468,867 ","$10,468,867 ",18/3/2005
Kung Fu Hustle ,Sony Classics,"$20,000,000 ","$17,104,669 ","$101,004,669 ",8/4/2005
The Game of Their Lives ,,"$20,000,000 ","$375,474 ",Unknown,22/4/2005
The Man ,New Line,"$20,000,000 ","$8,330,720 ","$10,393,696 ",9/9/2005
Proof ,Miramax,"$20,000,000 ","$7,535,331 ","$8,284,331 ",16/9/2005
2 For the Money ,Universal,"$20,000,000 ","$22,991,379 ","$27,848,418 ",7/10/2005
The Weather Man ,Paramount Pictures,"$20,000,000 ","$12,482,775 ","$15,466,961 ",28/10/2005
Mrs. Henderson Presents ,Weinstein Co.,"$20,000,000 ","$11,036,366 ","$14,466,366 ",9/12/2005
Date Movie ,20th Century Fox,"$20,000,000 ","$48,548,426 ","$84,548,426 ",17/2/2006
Doogal ,Weinstein Co.,"$20,000,000 ","$7,578,946 ","$26,942,802 ",24/2/2006
Stay Alive ,Buena Vista,"$20,000,000 ","$23,086,480 ","$23,187,506 ",24/3/2006
Stick It ,,"$20,000,000 ","$26,910,736 ","$30,399,714 ",28/4/2006
A Scanner Darkly ,Warner Bros.,"$20,000,000 ","$5,501,616 ","$7,405,084 ",7/7/2006
The Covenant ,Sony,"$20,000,000 ","$23,364,784 ","$38,164,784 ",8/9/2006
School for Scoundrels ,Weinstein Co.,"$20,000,000 ","$17,807,569 ",Unknown,29/9/2006
One Night with the King ,,"$20,000,000 ","$13,395,961 ",Unknown,13/10/2006
The Grudge 2 ,Sony,"$20,000,000 ","$39,143,839 ","$68,643,839 ",13/10/2006
Babel ,,"$20,000,000 ","$34,302,837 ","$135,302,837 ",27/10/2006
Code Name: The Cleaner ,New Line,"$20,000,000 ","$8,135,024 ",Unknown,5/1/2007
Epic Movie ,20th Century Fox,"$20,000,000 ","$39,739,367 ","$86,858,578 ",26/1/2007
Reign Over Me ,Sony,"$20,000,000 ","$19,661,987 ","$20,081,987 ",23/3/2007
Disturbia ,DreamWorks SKG,"$20,000,000 ","$80,209,692 ","$117,573,043 ",13/4/2007
Georgia Rule ,,"$20,000,000 ","$18,882,880 ","$20,819,601 ",11/5/2007
Death at a Funeral ,MGM/UA,"$20,000,000 ","$8,580,428 ","$34,743,644 ",17/8/2007
Into the Wild ,Paramount Classics,"$20,000,000 ","$18,354,356 ","$53,813,837 ",21/9/2007
I'm Not There ,Weinstein Co.,"$20,000,000 ","$4,017,609 ","$11,498,547 ",21/11/2007
The Kite Runner ,DreamWorks SKG,"$20,000,000 ","$15,800,078 ","$73,222,245 ",14/12/2007
Ramanujan ,,"$20,000,000 ",Unknown,Unknown,31/12/2007
Be Kind Rewind ,New Line,"$20,000,000 ","$11,175,164 ","$28,505,302 ",22/2/2008
The Bank Job ,Lion's Gate,"$20,000,000 ","$30,060,660 ","$63,060,660 ",7/3/2008
CJ7 ,,"$20,000,000 ","$206,678 ","$47,300,771 ",7/3/2008
Meet the Browns ,Lion's Gate,"$20,000,000 ","$41,975,388 ",Unknown,21/3/2008
Three Kingdoms: Resurrection of the Dragon ,,"$20,000,000 ",Unknown,"$22,139,590 ",3/4/2008
Street Kings ,,"$20,000,000 ","$26,415,649 ","$65,589,243 ",11/4/2008
The Children of Huang Shi ,,"$20,000,000 ","$1,031,872 ","$5,527,507 ",23/5/2008
Disaster Movie ,Lion's Gate,"$20,000,000 ","$14,190,901 ","$34,690,901 ",29/8/2008
Ghost Town ,DreamWorks SKG,"$20,000,000 ","$13,252,641 ","$26,612,350 ",19/9/2008
Lakeview Terrace ,Sony,"$20,000,000 ","$39,263,506 ","$44,263,506 ",19/9/2008
My Best Friend's Girl ,Lion's Gate,"$20,000,000 ","$19,219,250 ","$34,787,111 ",19/9/2008
Appaloosa ,Warner Bros.,"$20,000,000 ","$20,211,394 ","$26,111,394 ",19/9/2008
An American Carol ,,"$20,000,000 ","$7,013,191 ",Unknown,3/10/2008
Koltchak ,,"$20,000,000 ",Unknown,"$38,585,047 ",10/10/2008
"Synecdoche, New York ",,"$20,000,000 ","$3,081,925 ",Unknown,24/10/2008
Milk ,Focus Features,"$20,000,000 ","$31,841,299 ","$50,164,027 ",26/11/2008
Doubt ,Miramax,"$20,000,000 ","$33,422,556 ","$50,923,043 ",12/12/2008
12 Rounds ,20th Century Fox,"$20,000,000 ","$12,234,694 ","$18,184,083 ",27/3/2009
The Stepfather ,Sony,"$20,000,000 ","$29,062,561 ","$29,227,561 ",16/10/2009
Daybreakers ,Lionsgate,"$20,000,000 ","$29,556,769 ","$31,756,769 ",8/1/2010
"Story of Bonnie and Clyde, The ",,"$20,000,000 ",Unknown,Unknown,31/12/2010
